usr_code,title,review,rating,place,travel_date
ERICW755,"Backwater Trail in La Jolla, Great Views and A Bit of Adventure","The entrance of this trail is 'hidden' but not really, one must simply know where to look.  I have provided the address as close as possible on Google Maps and a screen shot.  Upon writing this review the lot next to the entrance is under construction so the entrance doesn't look the same.  Apparently this trail is frequented often despite some being overly cautious and not wanting to disrupt the locals...I say this is hooey because this rich folk have plenty of land and people looking to hike are not going to disrupt them one bit.  This trail was established (so I've heard) by stoners and surfers alike and is pretty interesting to descend.  There is evidence of extensive use of this trail to enter Black's Beach, a notorious nude beach in La Jolla just below the Glider Port, and is very scenic and interesting.  When descending the path there were a few 'sticky areas' as I brought my nice camera and wanted to be careful not to eat it while going down the path.  It takes about 15-20 minutes to get down depending on your speed and willingness to take risk, but overall it was a cool experience and would definitely recommend to anyone that they should check it out once.",40,Ho Chi Minh Trail,July 2014
AZSMF,OUCH $$$,"most excellent shopping and dining up and down as long as you don't forget your wallet. the wife and kids love the shops, me, the food. Can't go wrong here and it's kind of a must see area, everyone will find something they want",50,Girard Avenue and Prospect Street,August 2016
jerryssobel,Nice walk with zillions of stores that all look alike though,"To begin with, I am not a shopper. We went from our hotel in old town to just stretch our legs. It was very easy to park. Loved the old scenery and old buildings. A lot of restaurants and cafes to eat. We spent a couple of hours there. Store 1 and store 999 had very  same selections though",40,Old Town San Diego State Historic Park,August 2019
treyk453,San Diego beach that reminded me of an east coast beach.,"We spent a few lazy hours catching some rays with the kids here. Parking was easy. The walk to the beach was short. The beach wasn't overcrowded. The weather is perfect. There was a ""boardwalk"" that reminded me of beaches on the east coast. If you like the beach, you will enjoy yourself here.",50,Mission Beach,March 2019
CheleTea,BEAUTIFUL!,This is an incredible piece of green space that is pet friendly and relaxing! The views are stunning and the ocean breeze makes comfortable on the hottest days,50,Ellen Browning Scripps Park,October 2016
Pras499,Amazing,Chose to park at South Lot during our visit to access black beach.   This is easiest spot to park and access beach.   Love this area.,50,Torrey Pines State Natural Reserve,July 2019
IheartZephyr,Small beach,Nice little beach a long the coast of La Jolla. The waves were strong here. The sand was rough. It isn't big but there is another little beach just down the road (very near) for swimming and diving. ,40,Shell Beach Tide Pools,April 2015
cohoman,Fine for killing time - Not that special,"My family walked along Prospect Street after viewing the La Jolla Cove area. There are lots of small shops, various eateries and ice cream shops. There are also some high end stores (e.g., Kate Spade) in the area. Sort of reminded me of a mini Rodeo Drive. Not all that special, but might be a good thing to checkout after visiting La Jolla Cove to kill some time.",30,Girard Avenue and Prospect Street,July 2016
147kerenb,Pretty place,"A lovely place to walk for a couple of hours. Lots of atmosphere and character. San Diego is a very busy place. It’s a difficult place to eat in if you have allergies, everything has soya and even if it doesn’t they tell you it does. ",40,Old Town San Diego State Historic Park,August 2019
Patricia K,Beautiful setting,"Frequented the park many times with grandchildren.  A truly great way to spend a few hours enjoying the beauty of the cove, Shell Beach, and terrific walk overlooking the water.",50,Ellen Browning Scripps Park,May 2016
Kevin W,Sunset over the Pacific,This is a fantastic place to view the sunset over the Pacific Ocean.  Bring your camera.  You won't be disappointed.,50,Point Loma,December 2018
susanneromo,Fun eclectic shops,"It's a fun street filled with funky eclectic shops, small cafes, tatoo and piercing parlors...all your bohemian needs in one place.  I really enjoy visiting Pangea when I am there.",40,Garnet Street,January 2013
BrianC867,"Bars, bars, and more bars.","If you're into drunken college age kids and public urination, then this is going to be the place to go. The nightlife is great of you're under 30, but after that you should be over it. If you're not, you will stick out like a sore thumb.",30,Garnet Street,May 2013
lynn-jf,Village stroll,"Picturesque La Jolla village is a perfect place to stroll on a sunny afternoon. Interesting boutique shopping, art galleries and a great variety of cafés and restaurants to try. Parking can be difficult, but if you enjoy walking, park several blocks from the coast.",50,Girard Avenue and Prospect Street,October 2015
Drseapitz,If you're into crowds and big expensive stores...,"Lovely restaurants, but this area used to have nice, unique shops.  Now it is the large, high end chains.  Still nice for a decent meal with a view but not what it was and the crowds are terrible",30,Girard Avenue and Prospect Street,April 2016
Tkse1234,great for families,"sea lions, surfing.  A great picnic area and just sit and watch the waves.",50,Ellen Browning Scripps Park,February 2016
Sharon H,Nice place from the hotel,"No traffic, a little cool if the sun is not out, but great get away. It's steps from the Pacific Terrace Hotel and very convenient to walk just about anywhere. You can get a Lyft or Uber within seconds which is very nice if you don't have a car.  ",50,Pacific Beach,January 2019
Clagalval,Surrounded by ocean,"Lovely vistas, breezes, and scenery. Plan to walk around and take pictures for at least an hour, but don't count on cell service...only beauty.",50,Point Loma,November 2018
Sarg33388,Must see!,"When we got out of our car, the first thing we saw was a group of sea lions about 30 feet from is lounging in the sun. Be sure to go at low tide so that you can peek in the tide pools. There is a small cave/rock passage that you can pass through at low tide. Be aware that the walkway is under construction and the path includes lots of stairs.",50,Shell Beach Tide Pools,December 2014
Elvis M,Lots of shops and places to eat,"Stayed overnight at a hotel nearby. This area is full of upscale shops, chains and boutiques. Plenty of restaurants/bars, a few with views of the coastline nearby. This whole area is on a slope, so walking north/south not as tiring as east/west. Plenty to see and do.",40,Girard Avenue and Prospect Street,February 2016
206davee,Fabulous!,There is such a peaceful feeling as you walk the grounds.  The views are fantastic both in the day and at night with the lights on.,50,San Diego Mormon Temple,January 2016
Keith E,Great Lunch spot,This is a great lunch spot with many healthy sandwich and salad choices and outdoor seating.  Located near Torrey Pines.  Take a walk after lunch to check out the great views of the Pacific ocean,50,Salk Institute,April 2015
GlobalTime,Take advantage :),GlobalTime,40,Ellen Browning Scripps Park,October 2015
packd2013,View the waterway and City Scape,Use this bridge to access Coronado Island from downtown San Diego.  The view is attractive on one of the many blue sky days in this city.  Coronado offers great beaches and restaurants.,40,Coronado Bridge,July 2019
vagabondginger,Historic Building,"Not only are there changing exhibits of local artists works but the renovation of this space is also worth seeing. On Sept 29 I attended an opening reception for a special exhibition of The Studio Door's Studio Artists which is in Hillcrest so it was Uptown Meets Downtown at the Sparks Gallery. This will be displayed until January 5, 2020 on the 2nd floor mezzanine level. The Sparks Gallery original wood floor and brick walls and glass windows really showcase what a gem this building is. It's a perfect venue for special events as well as the art work. It's best to check out their website to arrange a visit.",50,Sparks Gallery,September 2019
Bandit2118,Awesome Admiration,"Oh the Pacific is so pretty and this spot is so perfect for taking photos, watching people, and swimming/wading water before the tide rolls in to beat up on the rocks. When tide is out, you can walk many of the rocks and admire crabs and beautiful fish. Sitting on the beach is awesome as you see the true beauty and power o the Pacific. Also, there is a large rock where a lot of sea lions congregate and chill out/play. One day we saw several guys snorkeling and they stated they were looking for lobster nests. Wow. You do not realize how much there is to see here and the beauty of it all is overwhelming. There was an artist here every morning of our stay to catch much of this beauty. Enjoy Shell Beach Tide Pools in La Jolla Cove!",50,Shell Beach Tide Pools,October 2013
Lynma1959,great for a sunset,"pretty sunset pictures here, must see if in Lajolla. Shell Beach resort is long gone and a new hotel in there but still a very nice place to sit and watch the sunset! Sea lions and sea gulls are always there. Wear your sneakers lots of walking",50,Shell Beach Tide Pools,October 2014
lindymiles,For tourists who like high-end merchandise,"Even though we live only 20 minutes away, my spouse and I enjoy strolling along Girard and Prospect Streets because the shops are always getting new and interesting merchandise. For instance, the floral shop on Girard had some of the most unusual, lovely proteas we had ever seen on display. I can always find the perfect gift in Warrick’s Bookstore nearby. I have bought charming stocking stuffers such as miniature purse-size staplers and 3-D bookmarks and tiny transformer characters. I have even bought purses and costume jewelry there. You will want to spend more than the 2-hour parking allotment if this is your first visit to La Jolla, so try parking in one of the parking garages—a good underground one is on Fay Avenue near Prospect Street.There are so many great places to eat at various prices it is hard to recommend just one or two. We like Rappongi above this parking garage for lunch and dinner and Richard Walker’s on Prospect for breakfast. Another favorite lunch spot is the Girard Gourmet where we indulge in deli dishes and terrific pastries. There are nice art galleries all over La Jolla but especially on Prospect.  I feel as if I am in a wealthy shopping district in Italy or Paris when I stroll these streets.",50,Girard Avenue and Prospect Street,November 2015
Marlon G,"Travel back in time in...Old Town 
San Diego State Historic Park","The moment you get thru the front entrance it's like going into a Time tunnel and your back in the old days. It feels like I was back at Rosarito back in the day. At front there's a water well and next to it is  rolling cart selling delicious tacos, tamales and other delicacies. Walk further up and see the old Cosmopolitan Hotel and  begin your Restaurant hopping. Walk around & enjoy all the places and get your selfie stick ready!",40,Old Town San Diego State Historic Park,June 2019
tlyntp,My summer favourite,"I love PB - but Mission Beach takes the cake for me. It's clean, quite and great waves. Parking is not so great - as in most places - but if you come down enough you know the times that are best to park - OR if you have patience or good luck, you will find the right spot and enjoy your day! There are a lot of spots you have to walk down hill to get to the beach - some down steps and some just the hill, some beaches here are easier access. It's a great place to stay and enjoy the day - usually pretty calm even in the midst of summer.",40,Mission Beach,August 2018
Evelyn M,Left my heart at Mission Beach!,"I know I probably sound like an ad for the place, but I was seriously impressed!   We did stay in the area, which made it even easier to walk around.  Getting to Seaworld, downtown, La Jolla area were all pretty easy too!",50,Mission Beach,September 2018
TJFLG42,Amazing Architecture and History,"After Jonas Salk invented the polio vaccine, he wanted to create a world-class research institute where researchers from various fields could work and collaborate. This is the result. The architecture and history of the facility is amazing and very inspirational. One would need a guided tour to really understand and appreciate what one is seeing, why it was designed and built like it was and how it functions.",50,Salk Institute,February 2015
934wallyk,Architectural and Scientific Gem,A stunning design that as well now for the cutting edge scientists as it did when it was built.  They offer 1-hour architectural tours most weekdays and it is so well done.,50,Salk Institute,March 2015
SDSunshineKKelly,Top of the Aquariums,"Go see the Salk institute if you like Aquariums and sea life ...it's awesome, I've heard there are also concerts there in the summer months. I can't wait to see who is featured this summer! Also free concerts in the local parks of San Diego (weekends and week nights) dance under the stars and by the beach! That's a vacation!",50,Salk Institute,July 2014
Kathy S,"Wonderful large grassy area, not much more","There isn't much to this park other than a huge grassy area with a couple of trees, overlooking the ocean.  However, the tide pools between the rocks below are more interesting as well as the Cove and the seals and cute squirrels.  The is a great park for outdoor free concerts which are done monthly during the summer.",30,Ellen Browning Scripps Park,July 2015
Mikey201,great and active beach,"awesome place . great beach,nice blueish green water and big waves . the beach is huge  and theres always a ton of attractive people on the beach . it also has the pier where you can walk far out",50,Pacific Beach,August 2018
christophera278,Beautiful views,"This is a great location, more locals then tourists. nice boardwalk with a nice collection of restaurants and bars. ",50,Pacific Beach,October 2018
jrk9789,A very beautiful expanse bridge,It’s not the bridge that’s so beautiful. Though it is a great feat of engineering. As you cross the bridge the views in every direction are spectacular. The water way filled with boats or older military vessels is great for your interests. You are crossing into one of the prettiest little towns down south.. a must visit sight,40,Coronado Bridge,June 2019
MCHMF,Great view and humbling to see Naval graveyard,"This is worth a trip to visit.  You get an amazing view of San Diego from the  Point, plus you will be humbled by the beauty and sadness of the beautifully maintained naval graveyard.  Please make sure you spend at least a few minutes to stop and take in the sacrifice of these men and women.",50,Point Loma,August 2018
Walker S,Entrance to Balboa Park,"Located near Balboa Park's west entrance on Laurel Avenue, Sefton Plaza features several bronze statues that provide a look into Balboa Park's history.  Featured is a statue of horticulturist Kate Sessions who is referred to as the ""Mother of Balboa Park"" .  The surrounding garden is filled with many of the plants she is credited with bringing to Balboa Park, including Matilija Poppy, Indian Hawthorne, Lily of the Nile, and Hong Kong Orchid trees. The north side of Sefton Plaza is known as Founder's Plaza. This area-- with natural stone walkways and a lily pad water feature-- presents a grouping of three bronze sculptures-Ephraim Morse, Alonzo Horton and George White Marston-prominent San Diegans who were instrumental in the creation of Balboa Park.",30,Sefton Plaza,August 2015
Love4Travel616,Upon entrance of balboa park,"Sefton plaza is at the very start of balboa park. The reason the Sefton family were so famous is they were very well to do in the 1920s in San Diego. For a cool piece of history, be sure to check out the courtyard Marriott at 530 broadway as the Sefton family started the bank (which is now the courtyard). ",40,Sefton Plaza,May 2016
pattie76,Photographic Art at Its Finest,"We happened upon this lovely gallery when we took the wrong way from our hotel on our way to grab a Dood's Burger.  I was initially captivated by one of the framed canvases showcased in the window when a friend of the owner invited us in.  Upon entrance we were greeted by a large display of photographs unlike any I have previously viewed, as well as the creator of these wonderful prints Michael Slattery.  My husband became engaged in conversation with Slattery as I wandered from print to print trying to find the one that best captured my imagination.  I could go on and on about his interesting technique, but it is one that is best viewed by one's own eyes.  I found my soul in a print called I.B. Pier, can you find yours?  If you can't visit San Diego your best bet is to shop his online site:  luminous-views.com",50,Luminous Views Gallery,February 2015
susanneromo,Independent Theatre,Always new and cutting edge work.  I enjoy the intimacy of the space and the risks they take.  Parking is easy to find and there are many restaurants nearby for either before or after theatre.,50,Mo'olelo Performing Arts Company,December 2012
619Joey,Good place to enjoy some IPA's,Stopped in here one evening to enjoy some IPA's.  Pretty good selection of IPA's on tap to spend an hour or two.  Staff is friendly and the beers are pretty good.,30,Pacific Brewing Company,December 2014
Claire T,"""Rent""",3) it is a good idea to call ahead and make sure staff is aware of your mobility needs,50,California Youth Conservatory Theatre,December 2015
galcurious,Ion Theater Co. is Amazingly Good Theater!!!,"Ion Theater Co. is a small theater production company in Hillcrest, San Diego, CA right near Balboa Park and in the effervescent community of Hillcrest and near the Bankers Hill neighborhood. The theater holds maybe 50 people at most and every seat puts you right in the middle of the action.  I first saw their production of ""A Streetcar Named Desire"" when they were doing their plays in a storage park in Mission Valley but then in 2008 they moved because the landlord was a Prop. 8 supporter.  Since then, at their Pennsylvania & 6th Ave. locations, my husband and I have see at least 5 plays and they've all been good. They've been doing a lot of dystopian plays which have been doing well after the 2016 election in our neck of the woods. Always good plays at reasonable prices and every one has been excellent.  So if you're here in SD for a week or a weekend or you live here year-round, check out this theater!",50,Ion Theater,September 2017
924danaf,San Diego Art Gallery & Conscious Lounge,"Almost forgot, they have a full coffee bar as well.",50,T Short Galleries,October 2016
EJGulland,"Atmospheric, and free - do stop!","This small museum is on the main road and easy to miss, but do stop and have a look. The historic station has windows you can peer into to see scenes in different rooms, to get a feel for the atmosphere of a 19th century staging station, there's music playing, and the whole site has an authentic, historical feel.",50,Oak Grove Stage Station,August 2016
Cliff G,Brew your own beer with no knowledge or equipment,"This is a great place to go to experience the fun of making you own beer. Even if you have no prior knowledge of what it takes to make beer. The proprietor, Judd, is friendly and helpful in getting you started. In as little as four weeks, you could be walking out with approximately six cases of your very own craft beer. Bring your friends or colleagues and make it an outing you will be talking about for months!",50,Citizen Brewers,October 2016
hjunell1,Love Pastor Tim and his family,"What a great dose of what I need every Sunday morning.  It always seems on point, and down to earth the truth.  You need to come try it out!",50,Grace Church San Diego,December 2014
GRPDX,An excellent place to have a beer or two before dropping off your rental car.,The seating is extremely comfortable - think leather sofas - this is a far superior place to wait for your flight than in the terminal!  The only drawback is they do not serve any food.,40,Accoustic Ales Brewing Experiment,March 2016
vintagejunge,"Enchanting Shop to Visit with Delightful Mixture of Vintage, Handmade Treasures","I love this store! Do so wish it was not so far away on the West Coast when I live in the East. It does not fail to disappoint with gorgeous displays and eye candy throughout! It is a co-op with little sections filled with handmade, vintage, antiques. Whimsical and well done displays, I always find a goodie to take home! Be sure to visit when you are in Ocean Beach if you love unique shops!",50,Vignettes,February 2016
JamesJOceanside_CA,House of Norway -- a Cottage in the Houses of Pacific Relations,The House of Norway along with the Sons of Norway and Daughters of Norway keep the Norwegian Heritage alive in San Diego County.,50,House of Norway,April 2017
MattHix63,Dive the Yukon,"If you're an advanced diver, this can be great! It's deep, a little over 100' at some parts, so it can get cold and you use air fast. On a clear day, it's amazing. With poor viz...meh...",30,HMCS Yukon,October 2012
John R,Great Art and location,Here is a really nice art exhibit located in the harbor area near Seaport Village. What a fantastic selection of different pieces. Lot's of different types too for those looking for something that really stands out.,50,Lori L Fine Art Gallery,October 2016
TheAnvil,Great Microbrewery Near the Airport,"I've been to a lot of breweries here in San Diego.  This is one of the better ones.  This is the perfect way to end your San Diego stay if you're a beer lover.  Have a last beer here and Uber or Lyft it to the airport.  The Cask Strawberry and Imperial Chocolate Stout stood out.  Great staff,  couches and a bar.  Awesome place!  I'll be back.",50,Accoustic Ales Brewing Experiment,May 2016
Melissa V,Good beer,"Cool location, good variety of beers on tap. Bar tenders are chill and knowledgeable. Would recommend to all beer enthusiasts.",40,Accoustic Ales Brewing Experiment,October 2016
vagabondginger,Contemporary Art,"Irina Negulescu is a one of a kind local artist originally from Romania. Her talent is quite expressionistic in her paintings. This gallery also features rotating artists. My visit here was during the Barrio Art Crawl on the 2nd Saturday of each month. Not only did I meet  Irina, there was an opening reception for one of the guest artists from 6-9 pm.",40,The iN Gallery,October 2019
imamhere08,Dont take the Plunge,"Well i took my sons to the plunge today and i have a problem. My sons are 9 and 12 and wanted to go in the sauna..so i went with them and was confronted by a man yelling something from the other side of the pool. When he got close enough to understand, i was informed that children have to be 16 to enter the sauna....i ask him where the sign stating that was..and was told ...we are working on it and it is not healthy for children to be in there. Now they spent alot of money to rehab this pool and i guess they had no more for a sign...or a polite employee to explain it. Funny..i always thought saunas were healthy.My sons and i decided to leave and was informed that where i had been sitting was for members only. I had been sitting there 3 hours and not once did an employee inform me that i was sitting in a members only area...just embarrassed me to my sons ...i asked again...where is the sign stating ..MEMBERS ONLY AREA...no such sign exist... So they may have spent alot of money on rehab...but not on employee training..especially the area of courtesy..for $36. i would think i was a member for the day...guess not...and now..i never will be. Thumbs down ..till they train a professional staff.",10,The Plunge,August 2019
trvlnsandy_12,"Murals by the artist, Salvador Torres",This attraction is for everyone! You can stay for a few minutes or longer :),50,Salvadodr Torres Murals,September 2014
tmt_tsintsadze,Broadway Pier,One of the cleanest areas in San Diego )) ( downtown is NOT famous with clean streets). You can enjoy ocean-breath and beautiful views. There is a fish market for seafood lovers and some ship-museums. You can also enjoy some boat tours. Recommended ,30,Broadway Pier,November 2019
TheAnvil,Nice addition to the great San Diego beer scene,"San Diego and beer aren't quite synonymous, but great breweries like this one certainly help get the two closer.  Fantastic place.  Good beer, cute little tasting glasses, and nice staff too.  This is a great stop for a beer before or after some awesome Asian cuisine on Convoy Street or as a beer tasting warm up to a magnificent dinner at Common Theory on Convoy, with their excellent tap selection.  Societe, Kilowatt & Quantum brewing are close by, for further beer exploration (designate a driver or Uber/taxi/Lyft it!)",40,Council Brewing Company,November 2015
MaltaBound,Great place to shop,"There's a lot to like here.  This is my prime shopping store for produce when in town.  The meat market is exceptional.  They were out of their ground beef, cheese, and garlic hamburger patties.  No problem, they said they would make more, which they did.  Customer service makes or breaks a place, and here it is provided.  I also like their bulk items, as well as double sale Wednesday.",40,Sprouts Farmers Market,July 2019
MichellePage,Protea Gallery in North Park,This new gallery opened just last December and they are already generating a lot of buzz in San Diego.   They are part of the monthly Ray@Night art walk in the North Park area and are truly a treat.   The gallerist is friendly and helpful and is passionate about her art.   They also sell protea flowers.,50,Protea Gallery,August 2013
Khidhala,Beautiful place for a wedding,"Take a lovely couple, toss in assorted friends and family, sprinkle parasailers floating overhead and finish off with a lovely sunset.  Result- a perfect wedding.",40,Johnson House,October 2014
Steven858,"Shop Local, Stay Fresh!!! Free parking too!","This new market is getting rave reviews! This certified community farmers market supports the school where it is located. With lots of free parking it is easy to effortlessly enjoy the feel of the community while shopping for local fruits and vegetables along with so many other things like bread, ceviche, authentic tacos, hot sauce, honey, aroma therapy, massage, jewelry, ice cream and so much more!",50,Clairemont Certified Farmers Market at Madison High School,June 2015
Todd S,Great Dive for Mid to Avance Divers,This is an artificial reef off the coast of San Diego by Mission Beach.  There you will find a number of ships to explore.  The Yukon being the most popular.  Access is through a dive company that will take you out via a tour. My friend and I explored the Yukon and visibility was about 45 feet that day. You can see the ship at 45 to 100+ feet.  It was an enjoyable dive and the dive boat operator (Waterhorse Charters) was great.  This was an all around great trip.,50,Wreck Alley,May 2015
Don C,Great Concert Series,"This concert series was started in 2003 and has presented performers from all musical genres. From the Strawbs to Dan Hicks. John Sebastian to Led Kaapana. Most recently we saw Karla Bonoff and Nina Gerber. Before that Rodney Crowell. Coming soon is John Sebastian. From the well known, to the should be and soon will be we, well known. What I like about this is that people go there to listen to the music. Not to be seen or talk on their cell phones. Most concerts have an intermission where the artist will come out and talk with you and sign CDs etc. Where else can you find that? Go to their website and have a look at who's been there and who's coming. You won't be disappointed. The venue is no longer at the church on Mansfield St. It is now at Sweetwater Union High School. The new venue is a winner in every way.",50,AMSD Concerts,August 2016
yuniced,Really Nice Microbrewery!,I did have the Rice Beer which was nice!  It had a hint of lavender in it. I look forward to seeing this place again.  The staff was so nice to me.,40,Circle 9 Brewing,September 2018
zed1958,"Went for ""Art of Photography"" Exhibit","The venue was nice, but the exhibition was well worth the admission to this photography lover.",40,SDAI Museum of the Living Artist,October 2012
vagabondginger,Voted Best Art Gallery,This is a very creative space that connects the community to the vitality of art. Barrio Logan vibrates with local art and the Barrio Art Crawl happens every 2nd Saturday. This place was a hive of people out and about and enjoying this event. The gallery offers classes and holds special showings too.,40,La Bodega Gallery,October 2019
johnson062610,Treasure hunt,"Tons of treasures await in this antique store.  It is kind of a tight squeeze to get around, but still a good place to look and find treasures.",30,Ocean Beach Antique Mall,March 2016
624MikeP624,Lot of stuff,"Typical antique mall with small, independent stalls. Most items are fairly priced. Booths are well maintained ",30,Ocean Beach Antique Mall,January 2017
Techkraut,Average is not a bad thing,"After following the paper signs through the office park, I arrived at the roll gate that opens into the tasting room.  The room offers space (get it?) for maybe 50 people and has a bar with about 15-20 taps including several nitro taps.  The staff was very friendly, knowledgeable and helpful.  The beer selection was good but not too exciting.  The quality was SD average, which would be high praise in most other parts of the country.",30,Intergalactic Brewing Company,November 2015
cat60282,Great beers and fun tasting room,"I loved my visit to Intergalactic. The owner Alex is a really nice guy, and the crowd is slightly nerdy, right up my alley. The Star Wars decorations are super fun as well. On to the beer...I tried 4 tasters and each beer was very good. I really liked the coconut porter I had, they seem to always have some variations on their basic beers available so there is always something new to try.",40,Intergalactic Brewing Company,November 2015
racite,Cute store in San Diego (little Italy),"If you are already in Little Italy drop in for a few minutes as this store has interesting tidbits to look at. I bought a fragrance lamp here about five years ago and I return periodically to buy refill fragrance for it (my favorite is red current). The selection of lamps change frequently. Sometimes the lamps are really nice sometimes just so so, it's really all about timing if you are looking for one. If you are in the market for an authentic Italian mask then this is your store they seem to have a consistent selection of those.  I also like the jewelry here as they are from artists that have a unique and modern aesthetic. I wouldn't describe this as a ""destination"" store but if you are in the vicinity be sure to drop in.",30,Masquerade Art of Living,August 2016
715autumnm,Surprisingly good beer ,We decided to come and try the beer while visiting. Im glad we good. The beer was decent. The service was good.,40,Intergalactic Brewing Company,December 2016
TheAnvil,Solid Brewey,"Very solid brewery on the tough San Diego market. Their product delivers.  Superb beer with a friendly staff.  Great Star Wars decorating.  Perfect after work beer place, or to hit after some north county fun.",40,Intergalactic Brewing Company,January 2017
Richard97008,Interesting Art Museum,"If you already have the park pass, and have an extra 20 minutes, go for it.  Otherwise, skip it.  This is not one of the expensive museums, but it is still over priced.",30,SDAI Museum of the Living Artist,April 2016
squidgirl21,Good beer. ,"I had a great time here. A lot of variety of beers. All good, there's something for everyone. Bar tenders were very cool, and the atmosphere was fun. ",50,Council Brewing Company,April 2017
JTfromSoCal,Scenic views,We have been to San Diego numerous times but this was the first time we went to Point Loma. The view from there is beautiful. We visited the Cabrillo National Monument and the lighthouse. In the lighthouse you can go upstairs and see the living quarters of the family that lived there. You can see the garden where they would grow their own produce. You can go to the visitor center to learn more about the place and there's a nice gift shop too. There are nice walking trails too. It's a good place to go especially when the weather is great.,40,Point Loma,May 2018
silvia_martins,I just loved this place!,"It was the best place I visited in San Diego. The views are stunning and the lighthouse is super charming. You have to pay $15 per vehicle to get in, but it is worth it. I loved it and it was my favorite thing to do in San Diego!",50,Point Loma,September 2018
GlobalGypsy_13,Place for all Seasons,"Point Loma is more than a Lighthouse and a National Park at the tip.  You can walk along the ocean with paid admission to the national park during visiting hours.  Or you can walk along the San Diego bay at anytime -- day or night -- for free. Walking along the bay from Kellogg Beach (1 block off of Rosecrans at this cross street) to Shelter Is and back has become my daily ritual shared with dog walkers, a few bikers and a handful of runners.  For stunning bay views do try this flat walk; ample free parking is available on Shelter Island where you can find a cup of Joe at the Fuel Dock or a meal at anyone of the many hotels there.  .",50,Point Loma,August 2018
stacierussell9,"Oh my way to the National Cemetery , Trader Joes",Trader Joe’s in Point Loma is a great store. Very friendly and great service.  They had some much fresh and healthy food,40,Point Loma,June 2018
Suzanne s,Annual Bay Bridge walk,"Went for the 3rd annual Bay Bridge walk this year.  Although the weather was not great, it was great seeing the sights of downtown San Diego from the bridge.  Lovely views not seen but once a year.  LOVE IT",50,Coronado Bridge,May 2019
Tucsongrma,A marvel of engineering,The Coronado Bridge spans the harbor in a large curve that always amazes me each time I see it or drive over it.  It was designed to allow large naval vessels to pass under it with ease as they arrive 'at home' or make their way to the second-largest dry docks in the country.,50,Coronado Bridge,June 2019
302JohnW,Trolley Tour across the bridge ,We traveled from the seaport village to the Coronado Beach and all the way out to Old Town State Park and Balboa Park. The trip over the bridge in an open trolley was excellent the sights of the city was photo worthy. We will do it again.,40,Coronado Bridge,July 2019
WaSunlover,Love the view,So glad to have the Trolley drive me over and I didn't have to drive over here with all the  traffic congestion. Nice views to enjoy that's for sure.,40,Coronado Bridge,April 2019
