review,travel_date,rating,place,usr_code,title
"We went in July, on a hot, humid summer day.  We had on-line reservations for admittance, but were late by a couple of hours, which didn't matter.  We were let in, and it was crowded.  You will see the originals of very special documents pertaining to the history and foundation of the United States.  The documents are not brightly lit (as light deteriorates them) and generally, are very difficult to read.  If you must read them, you must do them elsewhere (online, for example), as not only are they impossible to read right there, the time you have at each document is really quite limited due to the number of people there.  What you will see is faded writing on delicate yellowing paper.  It was interesting to see these historic documents, but as they (security guards) say, you are here to look at and view the documents, not to read them.....   Once in a lifetime visit for this location is probably adequate.",July 2019,40,The National Archives Museum,RANDALL L,Have realistic expectations -
"I crossed the 14th St Bridge a number of times whilst hiking both sides of the Potomac. It links historic sites on both sides of the Potomac from the area of the Jefferson Monument on one side to Arlington, the domestic airport and down to Alexandria and Mount Vernon and up to the National Cemetery, Theodore Roosevelt Island, Fort Marcy and Great Falls. In my view it is the best bridge for views up and down the Potomac and watching the planes coming in over the Potomac (right over your head) to the airport. However, whilst the walkway is separated from the heavy traffic on the bridge, it is terribly noisy so you won't want to stay too long.",November 2016,40,14th Street Bridges,MelB776,The best bridge for views over the Potomac and linking historic sites on both sides
"It is a very nice neighborhood in DC. For people staying a week or more in the area I would recommend spending a day here seeing the sights,",May 2019,50,Georgetown,jess290718,DC historic. Eighbirhikd
"A quaint area not far fromGeorge Washington University.A pleasant place to wander around, shop and buy lunch.There are many photo opportunities in the area, pretty buildings with colourful fronts and old fashioned architecture. Well worth a detour from Central Washington for an experience totally different from the grandeur of Central Washington.",April 2019,40,Georgetown,Ian R,Quaint Town
"Right next door to portrait gallery which is also worth a visit. These are only galleries open after 5.30pm so you can stretch out the day with a relaxing visit to these two attractions. I really liked the landscapes, particularly the views of Niagara Falls before it got taken over by tourists. ",August 2018,50,Smithsonian American Art Museum,leesixtysix,Great images of American culture
Loved the art in the American Art Museum. We really enjoyed seeing all the portraits of all the presidents. Lots of different styles there. Be sure to give yourself plenty of time to wander the exhibits.,June 2018,40,Smithsonian American Art Museum,Tsalib,Lovely Museum
"This is the former home of Marjorie Merriweather Post, whose father developed Post Cereals. She took over the company upon his death when she was just 27. Her father had prepared her for a life in the family business and she was obviously an astute learner. She formed General Foods, and grew to be the wealthiest woman in the country. This estate is lovely, with extensive grounds beautifully landscaped and a main house filled with an incredible collection of china, furniture, paintings and objects d'art. FYI, Ms. Post was also the owner of Mar A Lago in Palm Beach before Donald Trump purchased it.",October 2018,50,"Hillwood Estate, Museum & Gardens",colette f,General Foods owner was quite a collector!
"Stood in line for some time to get inside, then stood in another line to enter the ""Rotunda"" where the ""big"" documents are kept: Declaration of Independence, Constitution, and Bill of Rights. It meant a lot to me to see these documents, so it was all worth the wait. Definitely a bucket list item if you love America.",July 2019,50,The National Archives Museum,Nickjwebster,Documents
"Many people go to the archives to see the Constitution, Declaration of Independence, Bill of Rights and then leave.  They miss so much. The true value of an archive visit is to spend a few hours in the public vault.  Here the displays illustrate the various types of material that are archived and the reasons for doing so.  All of the displays are illustrated with documents or replicas of documents that are in the archives.  To me it was a bittersweet experience to see the heights that we have achieved as a nation and then to contrast it with what is going on today.",July 2019,50,The National Archives Museum,Art H,Our nations history
Well designed and laid out exhibition which includes race and social class contexts.  Participatory options include voting on what types of issues are important to you and using an avatar to explore the progress and lack of progress in the past 100 years.,July 2019,50,The National Archives Museum,SMiner33,Sufferage Exhibition
We were running out of time and had to choose one last stop. My granddaughter wanted to see the key documents housed at the archives. The crowd was big but not overwhelming. She was impressed to see the actual documents she has read some much about. It would be nice to have a bit more time. Also to protect the documents the room is dark.,July 2019,40,The National Archives Museum,DandCWags,Granddaughter wanted to see the key documents
This was near the top of my list as I absolutely love US revolutionary history. To actually be able to see the documents that our founding fathers wrote was a privilege. The guard in the main area had an amazing sense of humor. Make sure to look around at the other exhibits. There is more to see than just the declaration and constitution.,April 2019,50,The National Archives Museum,Kevin G,A must see
"This is the time to visit DC!! Even tho the day was brutally cold and windy on April 1st the blossoms were at their peak, and just absolutely breathtaking, no matter what direction you looked or walked. ",April 2019,50,Tidal Basin,Ruth R,Cherry Blossom Time!
"It's just beautiful at this time of year (April), with all the Cherry Blossoms in full bloom. The sun was shining, so as a place to simply stroll around or relax on a boat, it was perfect. A welcome escape from the heat as you walk under trees for shade whilst snapping some stunning photos for good measure.",April 2019,50,Tidal Basin,35jonathanc,"Busy, but what a place to relax"
Very pretty with some top named shops as well as some very unique little boutiques. Traditional American diner and lovely restaurant and a canal .,April 2019,40,Georgetown,Traingran,Who knew there was a canal in washington
"Do not miss this museum.  We almost decided against it but due to the rain, we decided to make a go of it and so glad we did.  The 1930's art was fabulous.  The museum had a wonderful flow and was easy to take in at an easy pace.  My husband is not an art aficionado yet he enjoyed the displays as much as I did. ",July 2018,50,Smithsonian American Art Museum,Denise K,1930's Art Amazing!
"We really enjoyed this museum. So much to see, many items from history and my childhood. The batman car is fun and a great display upon entry.",July 2018,50,Smithsonian American Art Museum,KMA3boys,Great Museum
"Bonus right now a very interesting collection of Faberge eggs.  This estate and very beautiful gardens were Ms. Post's.  She was the epitome for decades of the Washington Hostess and in a sense powerbroker.  The rich, famous, and powerful were always guests.  She was also one of the more important private art collectors in the U.S.  Now you can enjoy what she collected and get a glimpse of the lifestyle of the Washington rich and famous.",September 2018,40,"Hillwood Estate, Museum & Gardens",Chinapjs,Fabulous estate now a museum of Marjorie Merriweather Post
"In summary...for a nice 1/2 day outing from downtown DC,  visit Hillwood Estate, but make sure you take a cafe break between the garden and house tours.",September 2018,40,"Hillwood Estate, Museum & Gardens",SwissPinkPanther,Very INFORMATIVE Volunteers to Guide you through and OVERWHELMING art collection
"This former estate of Marjorie Merriweather Post has beautiful grounds and buildings to tour. There are greenhouses full of orchids - over 2,000 varieties so something is always blooming. The cutting garden still had many beautiful blossoms even in early September. The mansion housed an amazing collection of Russian artwork and artifacts that she collected over her lifetime & while her husband was ambassador to Russia. In one of the out buildings there is a special exhibit to the craftsmanship of Febrege from his famous eggs to silver and gold. It was very special to see this.",September 2018,50,"Hillwood Estate, Museum & Gardens",JimSTL1021,Beautiful Gardens and Awesome Russian Artwork Including Fabrege - See it Now!
"The ""birth certificates"" of our nation (Declaration of Independence, Constitution and Bill of Rights) are what drew us here and they are impressive (albeit difficult to read as they have faded to the point where you can barely read anything on them any longer), but the other documents in the museum are fascinating.  ",July 2019,40,The National Archives Museum,Eric C,"More than just the Declaration, Constitution and Bill of Rights!"
Go Enjoy.,June 2019,50,The National Archives Museum,JeffBreedlove,The Most Important Documents Ever
Imagine being in the presence of America's most important documents!!  Beautifully presented and preserved.  ,July 2019,50,The National Archives Museum,Linda M,Well done!!
"Visited on a Monday afternoon.  Times it perfectly and sailed through security with no line ahead of us.  Unfortunately, lots of lookey Lou’s in the display hall who were taking an inordinate amount of time to review all of the exhibits.  Pretty cool to see our founding documents.  There are other exhibits below the main display hall which were also very interesting.  Large gift shop onsite. ",July 2019,40,The National Archives Museum,Clarence_Beeks,What’s not to love?
"We really lucked out — the cherry blossoms were at their peak, the temperature hit 80, perfect timing, considering the day after the temp plunged 30 degrees.  Because it was such a great day, the crowd was huge.  We didn’t mind sharing the Tidal Basin with so many people but were surprised how ill prepared the Park Service was — trash cans overflowing onto the ground, long lines at bathrooms and portapotties.  Not a good look.",March 2019,50,Tidal Basin,michaelj726,Cherry Blossoms galore!
The ink is so faded that the documents are almost unreadable but seeing the J and the H in John Hancock's signature on the Declaration of Independence made going for the Fourth of July worth it!,July 2019,50,The National Archives Museum,Allyson S,Hurry and go!
We finally got cooperative weather so we got to see the Cherry Blossoms in full bloom.  It was so crowded but so worth it.,March 2019,50,Tidal Basin,EileenKaz,Beautiful Cherry Blossoms
Not sure where the happening spot is at night? Locals and tourist prefer Georgetown over the National Mall. ,June 2018,50,Georgetown,clrosekelly,Georgetown is the place to go at night
"I love Georgetown, and use to go often when my brother was in grad school there. We visited last week when we were on vacation, and it's as charming as I remembered. Lots of pretty shops and fun to wander the streets and take it all in!",April 2019,50,Georgetown,619LizH,As beautiful as I remember back in the 80's.
We found Georgetown run down not worth visiting.,April 2019,20,Georgetown,maddox66,Not much to see
Georgetown is a nice place to walk around and see the Potomac river. however it gets crowded so i wont not drive because not lots of parking. good place for a first date ,April 2019,50,Georgetown,Brandi B,Great Restaurants
Georgetown in the Kennedy era was where the elite lived. Now unfortunately many of the stores cater to eurotrash and high school kids pretending to be Georgetown University students. There is still a great deal of wealth there but its hidden off the main streets.,April 2019,30,Georgetown,legaleagledc,Used to be where the elite lived
"If you have limited time, the Tidal Basin is a must! Along with the western part of the National Mall, there are so many monuments that you can do in the span of 2-3 hours. The springtime offers those cherry blossoms, but those with pollen allergies should be wary.",April 2019,50,Tidal Basin,ZLincoln,Absolutely beautiful
"This is a nice place to stroll, and the cherry blossoms were about to bloom. When they are blooming, it must be spectacular. Read the signs giving the history of the trees. It is quite interesting. ",March 2019,50,Tidal Basin,mesachie,Lovely place to stroll
