title,usr_code,review,place,travel_date,rating
Refreshing walk,TravelKat21,There was still free street parking when we arrived around 8:15am on a Sunday. It was difficult to find any open spots after 10am. ,Lincoln Park Conservatory,July 2018,50
Great in spring,Peter T,"Lots of things to see, zoo is amazing, even having talk sessions.  The ducks and turtles in the pond are amazing as are the black birds with the red tips who have a nice trill sound.",Lincoln Park,May 2018,50
Nice Nature Break in Chicago,Thomas S,"Great spot for a walk on a sunny day.  There are many things to do including a zoo.  Sometimes there are vendors selling local produce.  Good for relaxing, people watching and just taking a pleasant meander.",Lincoln Park,May 2018,40
Ice Skating Magic,Amychuck,"We loved skating on the ice-skating ribbon.  It really is a magical experience.  We don't have ice-skating ribbons where we are from in Texas (due to weather) and it is so much more fun than skating around an oval rink.  The price is reasonable and the condition of the ice is kept quite well considering the number of people.  The Christmas music playing and the beauty of the lights of the city make this all the more magical.  Even though we had to wait for the zamboni machine, there were plenty of places to sit inside where it was warm to wait.  This really gets the season started for our family during our annual visit to Chicago. Even better, our daughter has basically learned to ice skate quite quickly after just one visit a year to the ribbon for the past couple of years. It would be neat to see the geometrical climbing walls there accessed during the summer months. It is almost like skating around sculptures.",Maggie Daley Park,December 2018,50
History,Dellian M,"We bought the city pass, it gave us access to almost everything in the museum. We ran short with time and it’s definitely an all day kinda museum but it’s rich in history. Highly recommend.",Chicago History Museum,November 2018,50
Interesting look at Chicago's history,T C,"This museum provides an interesting glimpse of Chicago's history and blues tradition. Other exhibits that were there during our visit highlighted Martin Luther King and streamlined design. Our gold standard among city museums is the one in London, England, which is superb. The museum is very good, but not in the same league as London's. We're glad we visited, but do not have a burning desire to return.",Chicago History Museum,November 2018,40
Fantastic!,Jarch98,I took the audio-guide which was entertaining to listen too but also helpful in the where to go next kind of way. ,Chicago History Museum,December 2018,50
Spring vacation,Jerry S,Wonderful city. Beautiful buildings and parks downtown. Nice atmosphere and lots of places to eat. The weather was good and we walked around from the shoreline to the inner city.,Chicago Skyline,April 2019,50
Live. Work. Play. In The Loop.,iambenjamin,"The Loop has everything imaginable that you could need, all within walking distance or just a short L ride away. Theater, shopping, restaurants, parks, and attractions, there is always something to see, experience, eat, and enjoy. I've been impressed with how clean The Loop is and how active it has become over the last few years. It feels safe and is a great place to live, work and play. ",The Loop,March 2018,50
Loop!!!!,CathyP1953,"We took the Big Bus Tour today and drove along The Loop!!! Fascinating and interesting places to see along The Loop.  I had always heard of The Loop, but really did not know what it was until my travels today.  Loved my tour of The Loop!!!",The Loop,April 2018,50
Great day for a good time ,briansC2742SN,"Went to Garfield Park and had a wonderful time! When you walk up, you see it’s big - but it is WAY bigger than it seems. I cannot believe how much there is to see. Make sure you go to the ponds outside! ",Garfield Park Conservatory,August 2018,50
Great history,BobKop,"This restored building has some great history to it. With originally restored mosaic floors this is a beautiful building. Our Chicago Greeter took us here and explained some of the back story. If you don't have a greeter with you, there are signs with information in the lobby (anybody can enter). It is defenitely worth taking a look at for a few minutes if you are around.",Reliance Building,February 2012,40
Great Place,PilotHouse,"First trip to Chicago for the national restaurant show. Booked our stay on line at the Burnham and could not have been happier. The staff were friendly, informative and very helpful. The building itself is fabulous. Rooms were very comfortable. Will return again.",Reliance Building,May 2012,40
Elegant and well preserved,erster,"I've stayed in most of the Kimpton hotels in Chicago, and the Burnham is by far the most beautiful.  This wonderful and important historic building has been thoughtfully and carefully restored with remarkably little compromise, and it now functions beautifully as an upscale hotel.  My room had touches of sumptuous elegance in the Kimpton signature style.  It was small but cozy (as opposed to  rooms elsewhere that are small and unbearably cramped).  I had a fabulous view of State Street, with the Marshall Fields store on the left and down a block the Carson-Pirie Scott store.  In spite of the fact that it looked out on a very busy street, the room was quiet and peaceful.  Great location, steps from the El, Millennium Park, and just about every central attraction in downtown Chicago.  Excellent service, too.  Did not try the restaurant, since it was closed for Labor Day. But I arrived just in time for the evening wine tasting, which was a pleasant welcome after a long trip.",Reliance Building,September 2012,50
Would stay here again in a heartbeat!,Dale H,"My daughter and I stayed here the night before the Chicago Marathon.  The hotel is beautiful and service is excellent.  We arrived early (before noon) yet were immediately checked in.  We were given a choice of a king or two doubles.  Chose the doubles.  The front staff was professional, efficient, and patiently answered all my questions.  The room was great!  The beds had beautiful sheer canopies.  The toiletries were nice.  I was able to join their In-Touch Program for free for free wi-fi during our stay.  Bonus for the marathoners: at 5 A.M. in the morning they had complimentary coffee, bagels and peanut butter, bananas, and water available.  My daughter watched the elite runners run by from our room window.  Unfortunately, they could not provide late check out for runners but we did check our baggage there.  But talking to other runners, I don't know of any hotel that offered this.  When returning to Chicago for another visit, I will definitely consider the Burnham Hotel again!",Reliance Building,October 2012,50
Great restoration,ScottyG777,"This building is famous architecturally, and it's destined to be famous for the great, chic hotel that has opened here a few years ago.  I remember this building well from my architecture college days and it was a blast to stay here this past summer.  Luckily, a client was paying because it's not cheap, but it's very, very cool.  If nothing else, visit the cool lobby area and eat at the great restaurant.  ",Reliance Building,August 2012,50
"The ""Hill Street Blues"" police station on the National Register for Historic Places",Allen21096,"From 1981 through 1986, how many of us listened to a familiar refrain on NBC once a week as police cars pulled out of the ""Hill Street"" police station at Hill St. (fictional street) & Morgan St.  The station was manned by characters like Capt. Furillo, Bobby Hill, Mick Belker, Andy Renko, J.D. LaRue, Sgt. Phil Esterhaus and more.  That TV show had 144 episodes over that time period.  But many did not know that the ""Hill Street"" police station had actually been the Maxwell Street station at the corner of Maxwell St. & Morgan St.  When the station was first built in 1888, it was home to the Chicago Police Department's 7th District.  Over the years, the district became known as ""Bloody Maxwell"" or  “the Wickedest Police District in the World”.  The station which anchored the western end of the Maxwell Street Market quieted down after Prohibition ended, but in the 1960's and 1970's, it became home to the Area Four Detective Division.  Area Four had the most murders out of the six detective areas of the City of Chicago.  When the new police station at the corner of Harrison St. and Kedzie Ave. opened, Area Four moved its headquarters there.  When I was promoted to detective and assigned, I was assigned to Area Four, but missed the honor of working out of the Maxwell St. police station.  The station itself is Romanesque in style and is architecturally significant as an example of pre-1945 police stations in Chicago.  It was designed by Willoughby J. Edbrooke and Franklin Pierce Burnham.  It was added to the National Register of Historic Places in 1996.   Besides the iconic ""Hill Street Blues"" television show, the exterior was also used for the television show - ""Chicago P.D.""  In 1998, the City of Chicago vacated the station and after extensive renovations, the station became home to the University of Illinois - Chicago (UIC) Police Department.",Maxwell Street Station,June 2017,50
Japanese temple,O6378WFannag,One of few Japanese temples in Chicago. It was established in 1944 by Japanese people who had been released from the Japanese American internment camp. They offer some classes.,Buddhist Temple of Chicago,October 2018,40
Go Chicago Card so many choices and worth the money,lindae5603,"Had a jam packed weekend in Chicago using the Chicago Go Card.  The card offered so many options.  There are other passes like the city pass, but it does not offer the variety you get with the Go Card.  We got to skip the long lines at the Shedd and Field museum with the card, which always help to save time.  ",Illinois Center,July 2013,50
Soo cute and fun ,Steffffxx,"Had a great time, very clean and the cats were great. They have great merchandise too. I have nothing else to say besides that it’s good. ",The Catcade,July 2019,50
Home To Local Chicago Artists and Their Art,Deborah M,"This building is an 88,000 square feet space filled will artists and their artwork.  Every first Friday of the month (evenings) the public can come to visit their spaces.  Don't wait for the Coyote Arts Festival in September to visit this great artists' space.  This is a historic and architecturally important space in the Wicker Park neighborhood.  Most of the artwork is very reasonably priced (no middle person / gallery owners).   Check out the great website for more information.",Flat Iron Arts Building,September 2011,50
Fun afternoon on a Sunday ,Jeri D,Amazing and Fun Filled.  All the seats are pretty good.  It's at a location which is easy parking plus a kid friendly environment yet still good for adults.,Atheneum Theatre Chicago,September 2016,50
Who would of thought,dvkremk,"Most people just think of it as a place for a quick cup of coffee, but it only takes a few minutes of quiet inspection to develop a different appreciation for this gem hidden right under our noses.",Mariano Plaza,November 2014,30
A little slice of Italy,Nicole H,If you're staying in the Gold Coast stroll over to this little slice and enjoy an espresso or gelato and watch the people. It's a quaint little park.,Mariano Plaza,July 2015,40
Take a class here!,jaz79h,"We came here for a class on ""face mugs""--mugs that have a caricature-like face on them. Lillstreet set up a short, fun slide show on the subject, and then gave us materials and instruction to make our own. So much fun! There's amazing classes of all sorts. A small exhibition/sales space downstairs. A really sweet restaurant (especially for pie). What a hoot!",Lillstreet Art Center,February 2017,40
Great way to explore this Chicago Arts District,Gabriele D,http://www.chicagoartsdistrict.org/,Chicago Arts District,December 2011,50
"A knockout, beautiful church!",Chris B,"I honestly don't know how often or when the church is open to visitors (outside of worship services of course.)  I was able to get inside with a local friend in between services.  The church is just wonderfully gorgeous inside.  About 100 years old.  The barrel vaulted nave is done in a delicate pale blue with gold accents, beautiful stenciling, and very traditional-style murals/icons.  Very striking in effect, with a massive bronze chandelier hanging from the central dome.  If you can pop in during ""open hours"" I would recommend it.  (Please leave a donation, as big old churches like this need, as architectural treasures from our past, all the upkeep help they can get!)",St. Nicholas Ukrainian Catholic Cathedral,October 2013,50
Neat and cheap,isabelc959,"I was looking for a place to stay with my husband to spend a 2 week vacation. We found this place. Pros: location, cleanliness, doorman, reception. Cons: my bed was too small! My husband weights over 100 kg and I weight about 90 kg. Both of us are tall. The bed had just 130 cm, hardly enough to fit us both, specially since at home we share a king size bed!",Old Colony Building,July 2017,30
Terrible experience,SUSAN P,"This short-stay apartment rental is a complete rip-off--avoid! My room had no curtains on the windows, the bed was a queen-sized rollaway cot with one sheet and one thin blanket, the floor was stained, the kitchen had pots and pans, but no dishes, and the building is full of noisy college students. When I called the number provided for assistance, I was told that they couldn't help me and that  ""curtains were not a service they provide."" The calls to their service center kept dropping and I finally asked where they were--the answer was Armenia. I called Expedia and demanded to be relocated immediately. The whole episode cost me stress and a fair amount of money. I am appalled that Expedia listed this group on their website along with legitimate hotels.",Old Colony Building,September 2015,10
Good value,pmartin172,"After stopping here for two nights I found this clean and tidy, a little noisy but only to be expected in the heart of the city.  Great roof terrace for bbq or watch tv out in the open air.   Views of the lake in the distance.  2 couples sharing with kitchen great little stop.   Shortage of crockery was the only issue.    Fully air conditioned. ",Old Colony Building,June 2016,30
AirB&B'ed it for 4 days in CHI-town,Travel4evermore,"Old building - nice apartment though.  The gym is great and for sure you will need to check out the roof-top.  View of the city with nice little tables, gas grills and a pool table.  ",Old Colony Building,July 2016,40
Bathroom flooded from leak in above ceiling,Jamie K,"We had low expectations for splitting a two-bedroom apartment for a girls' weekend so were pleasantly surprised with the cool apartment, though sparse, handy kitchen for keeping breakfast foods, and fun rooftop with great views and hang out areas.  It allowed us to be affordably walkable to Soldier Field for returning from a concert.  On our last morning we heard rushing water above the bathroom before water started leaking through the ceiling. We learned the apartment above had been vacant and supposedly fixed but remaining closed, which raises lots of questions about an even worse plumbing problem.  I also had respiratory issues only while in the apartment, which is concerning to me.",Old Colony Building,June 2017,30
Stunning,CultureHunter,"After the service was over one of the church members gave me a private little tour, she explained the meaning of the icons and gave me a brief history of the building. She did mention that people are free to stop in during certain times of the week so long as they are respectful. Even if you are not religious, stop in here simply to see the architecture and take in the beauty of this Cathedral. I highly recommend this place, and hope to visit again soon.",St. Nicholas Ukrainian Catholic Cathedral,November 2013,50
Skybox is well worth the cost,DonnaE687,Great view and great food.  some of the others in our group also enjoyed the beer selection.,Skybox on Sheffield,August 2013,50
"Great time, clean bathrooms and no lines",traveller347,"This was a great way to see the cubs play ball. I bought this as a groupon so we paid only $65.00 a ticket. I did see that games are discounted for only $75.00 especially day games during the mid week for lesser teams like the Diamond Back.  We were supposed to be at 3717 but they were full and redirected to 3737 Sheffield this had the most comfortable ball park seats I have ever experienced and better beer on tap like Heinekin. If you are into better food you can splurge and get the vip upgrade and get into the rooftop earlier and have alcohol until the 9th inning..Not really for young kids though. Its much warmer, got sunburned We had a great time and it was so quick to get out of the stadium and into the subway to get back to the hotel. The only downside was there was a giveaway and you do not qualify for the giveaway.",Skybox on Sheffield,April 2014,50
No view,AMK1124,"You CAN NOT see the game from the top two outdoor levels of this venu. I think there may be a partial view from the interior first floor of the venu, through the windows.  DO NOT buy tickets at this location if you have any intention of actually watching the game.  It seems Wrigley Field erected a huge billboard between the date we bought our tickets in April (and we did much research looking for view images online at the time) and the date we actually arrived for game time. So very very disappointed.  Food and booze is satisfactory.",Skybox on Sheffield,May 2015,10
It is just not the same!!!,cuzn,I don't think I will do the Skybox again.,Skybox on Sheffield,May 2015,20
Wendell's Chicago Water Taxi,Grandma47,"Took from Madison Avenue, near Amtrak station where we arrived, to Michigan Avenue, walked two blocks to our hotel.  $2.50 senior rate.  Rode again to Chinatown.  Beautiful river scenery, lots of camera photos.  Reflections off buildings.  Way cheaper than tours, can go up and down the river.  Leave every 15 minutes.",Chicago Watertaxi,May 2017,50
"Chicago Watertaxi, July 2019",Cooky01G,"Great little run from DT to China town.  Lots to see. Can use as taxi or a tour.  Just missing the guide. Otherwise, totally recommend this service. ",Chicago Watertaxi,July 2019,40
water taxi,Sandra H,"Great way to get around with nice views. We did the whole day pass, cheaper if you are going both ways,",Chicago Watertaxi,June 2019,50
Very interesting!,O6378WFannag,"This domed church built in 1916 was moved across Ashland Avenue and rotated in 1929 by a team of 50 men and horses, then cut in half and expanded in the middle!",Our Lady of Lourdes Church,October 2015,50
A Bit of Chicago History!,patshea2016,"401 N. Michigan Building.  Chicago’s founder, Jean Baptiste Pointe de Sable is believed to have lived where the Tribune Tower is located.  A fur trader, John Kinzie, is believed to have lived in this area as well.  Pioneer Court was built in 1965. It was built to honor our city’s founder and other pioneers like John Kinzie who settled in the area.  This is a great place for tourists to gather.  Tickets for boat rides on the Chicago River were being sold while I was there.  Pioneer Court has been designated as a National Historic Landmark.  This is where you can find a Monument to our city’s founder, Jean Baptiste Pointe de Sable  which is located there.",Pioneer Court,November 2019,40
Lovely park close to bust city areas,Travel3652,We went there on a day after the Chicago River had flooded. So the biking trail had water  from the river. But was a very nice trip.,Caldwell Woods,September 2017,40
Free live noon concerts on First Fridays,dvkremk,"WFMT broadcasts a live one hour program from the PianoForte Studio at noon on the First Fridays.  The concerts are always top notch.  Today we saw pianist Lori Sims - who was great.  The composer of one of her sets of music was also in attendance, David Colon.  Great to see live programs - especially when they are free.  No tickets are necessary - check their website for more info.",PianoForte Studios,December 2016,50
Inspirational service on Sunday,C-Z-1982,"I guess this church is not one of Chicago's most prominent ones (there are indeed some beautiful churches in Chicago), not would it seem to be a middle/high class neighborhood. But sometimes you need to take a gamble and we did. Looking at our map, we had a few choices, but St Malachy was really closest by. A little hesitant we approached the church and were warmly welcomed by parishioners (not that many) and the pastor. First the church is actually really nice, old, and old-fashioned, but well maintained and warm, with some nice statutes of saints. The service was actually inspiring, a great choir (mixture of traditional catholic and southern baptist music), and above all a truly remarkable homily. This  Sunday the gospel tells us the story of the young boy with who had five small loaves and two fish and Jesus performing the miracle of feeding the people AND when all was said and done, there were leftovers, filling 12 baskets. The pastor focused on the 12 baskets. Who he wondered would think of bringing empty baskets with them to this gathering? A great and moving homily. Would certainly recommend this church.",St. Malachy and Precious Blood Church,July 2018,40
Always busy,LDavidMarquet,Lots of outlets and USB plugs. ,United Club,October 2018,40
Riding the Texas eagle,Judith P,Riding 1st time.  Crazy station at poplar bluff Missouri. No signs about parking. The ride was interesting. Food was good! Heard every horn blow...and I had taken out my hearing aids.,Texas Eagle,February 2019,40
Great Amenities for Hosting Special Occasions,Pamela D,"Attended a wedding in the Ivy Room which was very lovely.   The cocktails were served in a room well staffed and plenty of space. Dining upstairs was perfect, everything well done.  Being in one of Chicago’s old, well preserved building was an added joy to those familiar with Chicago’s history.",Tree Studio Complex,July 2018,50
Great times old building,AngieKAlbert,"It was very dark outside and looked like it wasn't open. The bathrooms were incredibly out of date. The lobby was tight and they let in the shows late. However we saw the musical ""ready for Hillary"" and it was fantastic. Lori Lewis was hysterical. The comedy is good and it makes for a great night. ",The Public House Theatre,August 2015,40
Under construction,O6378WFannag,I visited this place because it was open for tourists during open House Chicago. Hopefully the remodeling is done soon and it will be open to public all year around. Very nice staircase with stained windows.,Illinois Institute of Technology Main Building and Machinery Hall,October 2017,40
"By far, the most beautiful, ornate, Catholic Church's I've seen in Chicago or anywhere.",RobD691,"On top of that, Father Jim is one of the nicest, down to earth, kind and understanding people that I have come across.  If you are a visiting Catholic come for the mass, stay for the art and architecture.  If you like looking at incredible, old world style churches, be sure to stop by, or simply take it in on your way to the Bar on Buena.  Either way, it is a unique and beautiful site to behold; one that you won't find elsewhere in Chicago.",St. Mary of the Lake Parish,April 2015,50
"A fun, quirky, delightful collection of art in the ""lowbrow"" art movement...A treat!",laurelyatsko79,"Curly Tale Art Gallery is small gallery featuring established artists.  This gem is located steps from the Golden Mile.  It features fabulous one of a kind paintings sculpture, and wearable art as well as prints.  The beautiful rotating collection is created by artists who interpret subjects as playful and quirky, appealing to the fun and humorous, strange, sarcastic and absurd, the personal view.  Occasionally the gallery hosts openings of a single artist's work or a group show.  Whether you are lucky enough to attend an opening or if you are simply interested in finding an unusual piece of fine art, Curly Tale is the place to visit. Be prepared to 'discover' unique great art that speaks from a place of ...as one of the shows is titled ""wonderfully weird wonders.""",Curly Tail Fine Art,April 2018,50
FREE pop-up museum on the history of sausage making,m3Chicago,"This pop-up museum runs through Dec 20, 2015.  Located on 2nd floor of Block 37.  Free admission.  Exhibit does a nice job explaining the history and process of sausage making.  Interesting visuals, including a video that shows the process of making your own sausage.  It's fun to see equipment for the home, learn about the manufacturing and revisit the history of biggies like Oscar Mayer.  Not open Mondays and Tuesdays. 11am-6 or 7pm, depending on the day.",Foodseum,September 2015,40
Rem Koolhaas is cool,casabar,"Visitor parking is north one block $2 hr.  Crown Hall, Mies Van der Rohe, is one block south across the street.",McCormick Tribune Center,August 2015,40
Confusing building,PeachP633,"Built by Rem Koolhaus in 2003, this building is built to incorporate the L train line passing through. It is an interesting design, but I found the inside space unsettling with its funnily angled lines and garish orange colour. No sure how the students react to it.",McCormick Tribune Center,June 2016,30
"Modern, Unique, Interesting",Toroniee T,"Being used to the traditional design of university/college student centres from Canada, IlT's McCormick Tribune Centre simply blew my mind. Parts of the building is bright orange and even more so when the sun hits the orange walls. Love the modern feel and look of the interior. ",McCormick Tribune Center,August 2016,40
Best seat not in the house,Taylor B,"Gallagher Way is Wrigleyville's newest attraction, the most exciting destination in the neighborhood this side of Murphy's Bleachers sports bar and Wrigley Field, home to the Chicago Cubs. Located at 3635 North Clark Street, on the west side of Wrigley Field, the green space opened in 2017 as an opportunity for families, fans, visitors, friends and neighbors to gather on and off game days. There is something for everyone. On game days, Gallagher Way is part hangout bar and day care. A ticket is required for admission. But you can avoid the crowd and still watch the game on a large TV, which was our choice recently during a Brewers/Cubs series. Kids have room to play catch or toss frisbees. There are vendors selling ice cream, beer, hot dogs and drinks. At the same time, you can choose among dining options at Budweiser Brickhouse Tavern, Big Star, Lucky Dorr's Patio and Tap, Jeni's Splendid Ice Creams, McDonald's, Mordecai, Smoke Daddy and Maddon's Post, Cubs manager Joe Maddon's new restaurant at the corner of Clark and Waveland. Out-of-towners can find overnight lodging at the Hotel Zachary conveniently located across the street. On off days, attend a clinic featuring former Cubs star and Hall of Famer Ryne Sandberg. Other events include musical concerts, yoga sessions and food and wine festivals.",Gallagher Way,September 2019,50
"A Huge, Airy and Productive Conference Center",jaseaton,"I ran a program and served in a plenary panel at a major conference held at the McCormick.  It's a huge hall with high ceilings, vast spaces, easy-on the ears acoustics, and plntiful supplies of low to medium quality coffee, Danish and sandwich options.  For someone like me who has mobility challenges it requires WAY too much walking, but there are wheelchair and electric cart options, so no complaints.  A gentleman on staff who gave me wrong directions because I asked him a question based on an inaccurate realized the problem and walked a full city block to find me and escort me to the right place: saved my day energy-wise and made me live the Center!",McCormick Tribune Center,June 2017,40
Try somewhere else,KathleenA60,"We went to the $10 8pm improv show called Bad Advice.  Here's the good advice, don't go.  There are many other places for comedy, try Second City.  I don't enjoy vulgarity and profanity that is injected just because they can.  There was plenty of opportunity for real humor that got lost in the mundane.",pH Comedy Theater,August 2014,10
