title,review,place,rating,travel_date,usr_code
Hustle and Bustle is Part of the NYC Experience,Broadway runs north to south in Manhattan but when most people refer to Broadway they mean 42nd Street to 52 Street near the Theater District. Times Square is located here too along with various people-watching activities. Expect large crowds and activity at all hours. ,Broadway,40,December 2019,Christina M
Must go to the top!,"This can be visited as part of a NY multiple sites ticket, or by buying a stand alone one. Whatever you choose do go to them’ top of the rock’ for great views across the Hudson and over the rooftops of Manhattan. There are shops and food halls within the centre and at Christmas there is an ice rink outside, with a great Christmas tree.",Rockefeller Center,50,December 2019,Beverley B
Must visit,A place to visit there are lots of tourists about.The outside statue is great a photo opportunity here.Lots of shops around here visit.Worth a visit.,Rockefeller Center,50,December 2019,Gillybobs1959
Beautiful tree,"We arrived the day after the tree lighting so needless to say, there were throngs of people but that does not deter from the beauty of seeing the tree.",Rockefeller Center,50,December 2019,Beth S
Packed Park,If you go around the Christmas season to Bryant park its quite packed. We usually just stroll in and out limiting the time we spend here,Bryant Park,40,December 2019,Benzman79
A Chill Spot,"A great place to get your head together after fighting the crowds. Sit and listen to some music, eat an ice cream, or order a beautiful dinner from the Bryant Grill. There are tables for chess and other such interactions or just sit and read a book. A real gem.",Bryant Park,50,August 2019,TerryM1701
Lively,Stall. Went back a few times in our 5 day stay in New York. ,Bryant Park,50,December 2019,LMcCaffer
Christmas Village,We were here this time when they had their Christmas Village up.  There is an ice skating rink along with food places and dozens of vendors.  Fun place to sit and have a coffee.  ,Bryant Park,50,November 2019,Californiagirl
Husband wish list,"We visited this attraction whilst having a few days in New York as Hubble has a passion to see intrepid.  Both myself and Hubble enjoyed the visit.  Lots of variety both above and below deck, many different areas to look at and enjoy.  The shuttle was amazing to see so close up.  Lots to see and hubbies enjoyment was fab. ","Intrepid Sea, Air & Space Museum",40,December 2019,tjwhite2015
Versatile venue.,"Apart from fashion shoots, this is a great area for street markets and the lime. At Christmas there is an ice skating rink in the middle with Christmas gift and food stalls all around.",Bryant Park,50,December 2019,Beverley B
Unexpected Surprise,    I highly recommend this museum for something different from the typical New York museums.,"Intrepid Sea, Air & Space Museum",40,December 2019,Tracey M
An unexpected delight,This was not on our itinerary however walked passed it on a damp and rainy Sunday so decided to go inside. What a beautiful building with great architecture and painted ceilings. We absolutely loved it and very glad we found it even if by accident ,New York Public Library,50,November 2019,karenpeet
"One of the world's pre-eminent libraries in a sumptuous building with exhibition spaces, as well as research facilities","This year, I noticed more tourists than ever, probably because of the holidays, but perhaps people are searching for more from NY than the usual. This time I was doing research in their rare book room, but took the opportunity to see an exhibition they have up on the 3rd floor on people, especially authors and performers, who've been inspired by the Library and its many collections. Amazing--go see it, if you can. There's also an exhibition on JD Salinger on the 1st floor that I regret not having time to see. ",New York Public Library,50,December 2019,Jennifer H
More than just a library.,"We visited the library to view the facilities, but were soon amazed and surprised at the architecture and art work on every level of this beautiful building.",New York Public Library,40,October 2019,Phil G
Feel the heat.,"The heat of the city AND of the lightshow of advertisements and signage is amazing, even in December.  ",Times Square,50,December 2019,Donald W
I learnt so much,"I thought Ellis Island would just be a tourist trap with a few bits to keep you amused but it was honestly one of the most fascinating and beautiful museums I've ever been too. You could easily spend all day in there and learning so much. It really enlightened me with what was really happening and tells the story of these people in a beautiful way. We times things a little badly so only had an hour or so on the Island so next time I'll be back. I also recommend watching the little video they have set up in the theatres and you learn a lot through that. We also stopped & got chatting to a cleaner who was super knowledgable, friendly & helpful that really made the trip even better.",Ellis Island,50,February 2019,Keeksdeeks
Important Story,"I have wanted to visit Ellis Island for a long time and I certainly was not disappointed.  Ellis Island tells an important story about migration to American, and I definitely recommend a trip if you visit New York. The museum has a lot to look around and take in.  There is a free audio guide also included in your ticket price.  The Cafe food could definitely be improved, they only seemed to serve fast food.  I was there in the morning and there were no breakfast options.  More healthy options would also be nice. I would definitely advise booking an early security check.  I arrived at 8.30 am (my ticket time was 9 am) and there was no line.  By the time I returned from the island, just after lunchtime the queue was huge. Ellis Island tells an important story about migration to American, I definitely recommend a trip if you visit New York.",Ellis Island,50,December 2019,outandaboutwithliz
it was okay,"Times Square was not as impressive as what it seems on New Years eve.  If I compare it to London's Piccadilly Circle, Piccadilly would win out",Times Square,30,December 2019,Beth S
Excellent view and historical sights!,We went on a day trip to Ellis Island by Coach to see Ellis Island and how people from the past came here. They took us around and we got great views of the scenes; the luggage; and the time period.  It was great!  Our date was 6-28-16 on the bus trip.  It also gave us a chance to see the Statue of Liberty.,Ellis Island,50,January 2019,Laurie G
Historical gem,"I booked the Hard Hat tour for myself, my husband and 13 y/o. I am so happy I did. We spent 90 minutes learning the history that so many Americans experienced. The guide was extremely knowledgeable and very patient with us folks who wanted to take extra pictures. If you have a day to enjoy Ellis Island (it really took all day to fully enjoy and appreciate all of the artifacts in the museum in addition to the tour), this spot is a MUST DO! I highly recommend!!!",Ellis Island,50,November 2019,TexasRobyn
If you’ve seen the film.......,"This is an unique building and worth a visit. Many of the rooms are restricted for research purposes but you can walk through the main areas and enjoy the old world style of the decor., the sweeping staircases and impressive paintings.There is now a gift shop on the ground floor with offerings geared to the library.",New York Public Library,40,December 2019,Beverley B
Christmas show,"We came to New York last year during the Christmas season and did many wonderful things, but the Rockettes were what brought us back. It’s stunning, it’s joyous, it’s everything Christmas!  Come prepared for a long, poorly organized line to get in, and for a few rude audience members to ignore the cellphone rule, distracting other guests no matter how many times they have been asked not to do this. But do come to see this spectacular show!",Radio City Music Hall,50,December 2019,ILoveTexas
Radio city music hall Rockettes Christmas spectacular,Truly spectacular. Am amazing experience that will enchant young and old. Beginning of the show is in 3D. The synchronization is absolutely mind boggling.,Radio City Music Hall,50,December 2019,narisham2019
Lovely Christmas Show,"We attended the 11am November 26 performance of Christmas Spectacular at Radio City Music Hall.  The 1 1/2 hour show was wonderfully choreographed and even included a 3D segment.  During the nativity scene there were live animals as well.  A donkey, some camels, and some sheep.  A very enjoyable and memorable performance marking the holiday season.",Radio City Music Hall,50,November 2019,Mary230C
You have to buy tickets to see inside.,"This is an old world music hall but unless you have tickets for the show, you are not able to go inside. It’s still worth visiting.",Radio City Music Hall,30,December 2019,Beverley B
Rockettes,This show was as magical and spectacular as it was over 50 years ago when I went for the first time.  It never gets old because it is different every year.  I highly recommend this to everyone,Radio City Music Hall,50,December 2019,Beth S
Always worth a visit,Not only in Europe are there beautiful cathedrals.   Don't miss St. Patrick's Cathedral when you visit New York City.,St. Patrick's Cathedral,50,August 2019,GM-FLA
A beautiful Cathrdral,We’ve been there several times and it never fails to mesmerize.  This time around we actually made it into one of the masses.  ,St. Patrick's Cathedral,50,November 2019,Californiagirl
Great detail,"Always visit here on the annual Christmas trip to NYC. Place is nice, has great detail and architecture.",St. Patrick's Cathedral,50,December 2019,Benzman79
Nice connector to many trains and subways,It is an upscale shopping mall - subway/train connector -hub station. There are some restaurants that are good for lunch . ,The Oculus,50,December 2019,O6378WFannag
So beautiful - got to see and experience a Saturday night service,this place was so busy and it was very nice to experience a service saturday night during our visit. ,St. Patrick's Cathedral,50,December 2019,LewisB78
Beautiful design! ,"Such a beautiful building, loved all the Christmas decorations too! Lots of shopping and eating. The most amazing subway station you’ve ever seen. ",The Oculus,50,December 2019,MeeShellMidwifeRN
Mind blowing.,"I can honestly say I’ve never seen a shopping mall like this. All high end stores, but still worth a walk around. You can even catch the subway from inside. Nice way to spend a wet few hours.",The Oculus,50,November 2019,taffy92
Vintage shop browsing,Had a quiet morning browsing around vintage shops. made a nice change from the designer facade of Times square. Very enjoyable .,Greenwich Village,40,October 2019,Christine W
Amazing place you won't be tired.,"So many people of art lived and worked here. From Edgar Poe to Bob Dylan. Russian-American Nobel prize winner Brodsky spent a few years on Morton Street. So full of life, you must go to jazz and/or night club, if you are not a fan of that - just eat something new and stroll...",Greenwich Village,50,October 2019,juliaramm27
Nice to just wander around,"Great area to just walk around and explore. Lots of small gardens, hidden restaurants and boutique shops dotted around. Very charming for NYC.",Greenwich Village,40,November 2019,Livalambchop
Greenwich Village Food Tour,"Our guide Bert was entertaining and so informative.  He gave us an overview of the history of the neighborhood and it’s restaurants, and helped us to better appreciate all the different foods we were tasting.  The tour included 8 tastings, 6 savory and 2 sweet.  It was a fun and filling experience!!! ",Greenwich Village,40,November 2019,dinak408
"New install and building is overrated. Betye Saar exhibition is a must see, on the other hand.","I may be biased, because I still recall and appreciate the original MoMA building with its stellar, smart, and human-scaled installation of the spectacular collection and the logical traffic flow, which I first saw in 1987. It was still vast but without the gargantuan proportions for MoMA II that we were all waiting for--many years in the making. Those spaces looked like a shopping mall on steroids. Now, we have, after 100s of millions of dollars, MoMA III, which is better than its previous incarnation. It still has a sense of soulessness, perhaps indicative of where we are in the USA and in the field of contemporary art. My review is about the new space, which rates a 1 or 2--collection quality is a 5.",The Museum of Modern Art,30,December 2019,Jennifer H
My Favorite NYC Large Museum,"MOMA just underwent a huge renovation and the results are fantastic.  There seems to be a never ending phalanx of galleries each with incredible exhibits.  I visit the MOMA each time I visit NYC, but this most recent visit was by far the best.",The Museum of Modern Art,50,December 2019,markmE7913VY
Great exhibition spaces,"The museum is always busy, but its still nice to spend a few hours exploring all the exhibition spaces.",The Museum of Modern Art,50,June 2019,Hewson01
Wonderful visit to the recently renovated museum,I visited the museum after its recent reopening.   It has many new exhibits and also the wonderful classics.   There is a live exhibit of young singers that sing made up opera.,The Museum of Modern Art,50,November 2019,ASchwartz6
Well worth a visit,Highly recommended! ,The National 9/11 Memorial & Museum,50,December 2019,rknightley
Emotional but a must,"Gives a full clear understanding of exactly what did happen step by step, and shows how they have truly moved on. Well done a must visit.",The National 9/11 Memorial & Museum,50,December 2019,alansL6010EE
Nice Ride,"A quick way to get to Staten Island, very windy, but understandable, also great views of the statue of liberty while on the joureny.",Staten Island Ferry,50,September 2019,Pablopelos
Worth the time and crowds to visit,"We signed up online for our visit, and even so we were in a queue at 9 am on a weekday near Thanksgiving.  The memorial is fantastic.  In fact it is almost overwhelming as it brings such emotions to the surface as we relived that day and the days following in 2001.  We visited NYC with our family in December, 2001 when ground zero was still smoldering.  Our kids remember that visit very well, and this visit to the memorial brought all of that home again.   We spent about 3-4 hours on this visit, and were physically and emotionally exhausted when we finished.  Extremely well done tribute to the many who perished that day in NYC and elsewhere from the terrorist attacks.  Must visit in NYC!",The National 9/11 Memorial & Museum,50,November 2019,Montana_Rustler
"Never forget, never forget","This experience takes you through the destruction, the heroism, and the rebuilding to reenforce the American spirit. The names and water falls are aweinspiring. ",The National 9/11 Memorial & Museum,50,December 2019,Donald W
Nice view,"We enjoyed the free ride and views. The ferry was easy to access and the stations easy to navigate. We went one direction, walked to the next ferry and went back which was what most people were doing.",Staten Island Ferry,50,November 2019,349barbp
"Free, and in 1 hour you can see a lot","When you have an hour to spare, this is a good suggestion.",Staten Island Ferry,40,December 2019,Geert_AQP
Statue of Liberty ,"This is a great and free way of seeing the Statue of Liberty . You will set of on the ferry which lasts around 30 mins and will get you to Staten Island . On the way you will have great views of the city and the statue. Once you arrive you can either spend time on the island or just come straight back on the next ferry. Ferry’s are every 30mins. *** tip -upon arriving at south ferry terminal you will approached by people trying to sell you tickets to see the Statue of Liberty, remember that you can take the FREE FERRY- ***",Staten Island Ferry,50,December 2019,thegoodolddays09
"It seems organised , It is free , it is safe","But  it did not do anything fro me . I would do something better with my time . As a visitor to a great City with so much on and limited time this was not the most efficient way of ""visiting"" and exploring .",Staten Island Ferry,30,November 2019,W3403WLandrew
Similar to Londons,"A great museum with lots of interesting displays and very well thought out, as to allow you to take a real journey into history.",American Museum of Natural History,40,December 2019,robmooretravel
Requested Visit,"My grand niece who is not your typical teenager only wanted to see 1 thing while on a stop over in NYC. The Museum of Natural History. She remembered it from a prior visit a few years ago, and wanted a return. I got the tickets online, but for some reason still had to wait in line to enter-however, that was the only glitch. We did everything from Dum Dum to the Planaterium, never walked so much in my life. But it was worth it, because she really enjoyed/loved it. ",American Museum of Natural History,50,July 2019,Natalie F
Worth the Experience ,"This is a beautiful, very well thought out museum. I truly enjoyed my time...it can get very loud with school groups,  but I tried to move onto other areas when they were in the space where I was. ",American Museum of Natural History,50,December 2019,ajl1182
An extremely enriching experience ,"The name of this museum does not do it justice. It was more than just history. There is just so much to learn about, see and experience here. There were exhibits on all kinds of animals, mammals, insects and dinosaurs.. rich history of American history and other cultures. Spent about 3-4 hours, and we did not cover everything. I will set aside a full day here if time permits ",American Museum of Natural History,50,December 2019,Incredigal
Great place,When staying in New York a visit to Chelsea Market is recommended. The Market is indoors with a lot of different things to see or buy. A lot of different food experiences and several shops located in this old warehouse. We visited this place a rainy day and didn't regret that. ,Chelsea Market,50,December 2019,TomHarald
Something for everyone.,This is an amazing place. The exhibits range from Dinosaurs to the planets and there is usually a special exhibition on. When we visited there was a T. rex exhibition and a Butterfly house option. The tickets can be single entry or you can combine them with one or more exhibitions. If you are in NY and want to visit a number of the sights then look at the pass that covers them all since entry to each one separately will add up.,American Museum of Natural History,50,December 2019,Beverley B
Great place for a stop over,"Walked around and had drinks at a few of the stands, was great to enjoy the variety of drinks and to people watch.",Chelsea Market,40,June 2019,Hewson01
Awesome!!!!,We loved it! My granddaughter especially liked the “key” to animate the scenery. It was cleverly designed.,Gulliver's Gate,50,December 2019,Tina C
Great place!,"Made a stop at Chelsea Market and was amazed! They had tons of food places from breakfast, lunch, dinner, desserts, healthy and the no way healthy! It was great! There was four of us traveling together and we could pick different things we wanted to eat for breakfast. The plaza was decorated beautifully for the holidays also! ",Chelsea Market,50,December 2019,moneil255
Great Adventure... professionally done,Excellent attraction and well worth the time. Great displays ... all professional done and extremely accurate displays ,Gulliver's Gate,50,December 2019,larrysink
Best kept secret in Times Square,Our group of 34 people with 20 Seeing Eye pups in training come  into NYC as an exposure outing for the pups every December.  we were warmly welcomed by all the staff at Gulliver...and as for the exhibit we were not disappointed.  It was an amazing display of a world of miniatures...highly recommend to young and old alike!!  Don’t miss this memorable experience!!,Gulliver's Gate,50,December 2019,quatch64
Amazing! (for adults and older children),"Take your camera -- some things can best be seen through the lens in zoom mode, and even that tiny everything looks real!",Gulliver's Gate,50,December 2019,X4569HGmichaelr
What a wonderful world!,To see all of these sites in such detail! We were intrigued trying to find the characters that you hid throughout the exhibits! We really enjoyed the whole experience!,Gulliver's Gate,50,December 2019,BackPacker516508
Rockettes Rock this Christmas 2019,a must visit show and great value,Christmas Spectacular Starring the Radio City Rockettes,50,December 2019,alansL6010EE
Incredible,"The production is wonderful.  The precision of the performers should impress any Drill Sargent. So impressive in so many ways.  None greater than the bold presentation of scripture reading and nativity sequence.  Thank you to the producers, directors and entire staff for willingness to present the true meaning of Christmas - the birth of our Savior and Lord Jesus Christ.",Christmas Spectacular Starring the Radio City Rockettes,50,December 2019,788donm
"Great view point, easy cheap fun",It was a little out of the way.  Great little station (one tram was out of commission that day).  Few people.  Great view of the city while going across the river.  Price of one subway ride.  ,The Roosevelt Island Tramway,40,November 2019,1234kidsintow
"Arrived 40 minutes early in line, did not get in until 8:20pm and show started at 8pm",But certainly they wouldn't start the show before letting people in? Wrong. By the time we got through the doors the first act was ending and it was an act my mother had seen photos of and was looking forward to. It was the Rockettes dressed as reindeer. We should absolutely get a refund for this show as we missed part of it through no fault of our own and it made the experience very stressful instead of exciting and magical. I'm hardly new to Broadway shows in NYC and I have never seen such a disorganized mess getting into a theater. And to start the show before dozens and dozens of people had yet to be allowed into the theater is unacceptable. Very disappointing experience.,Christmas Spectacular Starring the Radio City Rockettes,10,December 2019,cpolcaro
Do this fun thing!!!,It's only a Metro card ride over and then we walked around a bit then took the regular Metro train back into Manhattan.,The Roosevelt Island Tramway,50,November 2019,Rstraubh
Fabulous! ,A lovely way to cross  the river - if you have the metro card - which is a must for getting around - you just use it on this too,The Roosevelt Island Tramway,50,December 2019,chrisisboss
Skyline views.,Did the Roosevelt Island walk using the very cool tramway to access the island. My Metro card made it a free ride. The walk itself offered a ton of photo ops. The island needs way more info plaques about what I was seeing. Many of the buildings have fascinating histories. Great place for a picnic in the summer.,The Roosevelt Island Tramway,40,December 2019,alankO5582FU
Underwhelming!,"I have ridden on many aerial trams and this one is the shortest and least impressive. Been there, done that!",The Roosevelt Island Tramway,30,December 2019,Butch E
Hidden treasure of New York,Most tourists when think of going to New York never think to go visit medical cloisters. And one of the Rockefeller’s made sure that NYC has a world class attraction from that period as well . Beautiful location and amazing collection of artifacts. Just keep in mind that maps shows that there is a cafe but when we came we were told that there is no cafe in this museum. ,The Met Cloisters,50,December 2019,O6378WFannag
Admiring the Colmar Treasure,"We have enjoyed our visits to the Cloisters in the past, and this visit was no exception. Our specific purpose this time was to see the Colmar Treasure, on loan from the Musee de Cluny in Paris, but it would have been foolish to limit ourselves to that. Once again we admired the Unicorn tapestries and the bust by Tilman Riemenschneider, probably our favourite woodcarver of the later Middle Ages. These are highlights among among the other treasures. Highly recommended!",The Met Cloisters,50,November 2019,operalover939
Overlooked gem in upper Manhattan,"If you were a fan of the 90s animated classic ""Gargoyles,"" You might recall that Demona was hanging out here during the first season when she lures Goliath to cast a spell on him so he'll join her in her hatred of the human race... This might be a bit of a niche factoid for the average visitor, however. If you were terrified by the 80s animated classic ""The Last Unicorn"" as a child, as I was, you will also recognize the unicorn tapestry hanging here, from its brief appearance in that film. If you are not at all familiar with the works mentioned here, then you will still enjoy the scenery and history presented here for your enjoyment at the behest of wealthy industrialists. ",The Met Cloisters,50,January 2019,hehasbalrogsocks
Worth a visit,"Also, your ticket is good for 3 days to the different Met museums. So if you want to go to any of those, you can save some money by planning them around each other.",The Met Cloisters,40,November 2019,thismike
Marvelous Place,Silent contemplation will serve you well at this marvelous historic place. The grounds are beautiful,The Met Cloisters,50,January 2019,oDrJo
1st Trip to NYC,This was the first trip to NYC for my son (11) and daughter (9). We had a jammed packed two days and the One World Observatory was the finale. The views and the education of the city did not disappoint. I would highly recommend the experience to other families.,One World Observatory,50,December 2019,mulcahymw
Beautiful place!,Awesome building with breathtaking views. Nice experience. Great and attentive staff. Drinks kind of pricey ($17 for a beer) but great place overall. ,One World Observatory,50,December 2019,Ray C
So many sites to see it from!,"The usual place to view this from, is Brooklyn. The broad walk there offers a range of vistas depending on your choice of foreground. You also get a good view from the East river ferry, and from Manhattan bridge.",Manhattan Skyline,50,December 2019,Beverley B
Go Early,I live downtown and like to take visiting friends for a walk on the bridge. Just go early to avoid crowds and don't even think about taking a bike unless you use the Williamsburg Bridge which is another great thing to do to avoid crowds and to check out Wburg.,Brooklyn Bridge,50,October 2019,Rachel S
Go up even with bad visibility if you have to use tickets,"Enjoyed the visit even though visibility very poor(had no choice to use ticket as we were leaving). They did offer to us to use the tickets for another day, which was nice but we could not do. Still, had some cloud clearing and got to see decent amount and the coolest part is that we were virtually alone. Had a drink in the bar which is a super cool area, all in all very enjoyable!",One World Observatory,50,December 2019,Brigid C
Visit the Christmas Mkt at Grand Central,We always do a walk through of Grand Central Station on our way to the Christmas Market they have here in December.,Grand Central Terminal,50,December 2019,therealbrianr
Crown visit,"Booked well in advance to get crown tickets. Security is strict, went through two sets of scanners which can take time. Only attempt the crown if you can handle tight spaces. Lots of steps and coming down is worse.  Not a lot of space or time when you get to the top but worth it just to say you’ve got there.",Statue of Liberty,50,December 2019,Julie S
Go here ,A beautiful peaceful (ish) place in a busy city. A lovely walk with artists and stands along the way. Easy to navigate and interesting ,The High Line,50,December 2019,HappyfeetLeeds
Well worth the trip over to Liberty Island,"The new museum on the island is great too, as it has an insight into how the statue was made. To top of the experience the original torch is in the museum and it’s fantastic to see that up close too. ",Statue of Liberty,50,December 2019,adventurecouple101
Terrible customer service.  RUDE ,"In December 2019 we visited the top of the rock .  Of course the view is amazing.  Whoever the employees n manager on the top floor were unprofessional and very rude. After being treated like cattle our group was place in time out for not standing on each other.  Finally several guest demanded to speak to management as we were being held hostage and unable to board the down elevators.  The manager, without witnessing the events or inquiring as to what happened told the group he believes n supports his employee.  Trust me this guys was crazy.  Do yourself a favor and go to the Empire State Building.  Super nice staff there ",Top of the Rock,10,December 2019,477andrewg
"Amazing view, huge waiting lines","Sure, it is probably the best view in town. Sure, it is worth the money. Nevertheless, waiting in huge lines and again coming back at a later time for the visit is impossible for someone who is there on vacations and trying to see stuff. The VIP pass worked perfectly for me though! Got passed the line and visited the top with priority",Top of the Rock,40,December 2019,aktsar
Fantastic view,"Went at sunset, what a fabulous sight. Well organised if you buy tickets beforehand & go back at designated time.",Top of the Rock,50,December 2019,jeany1960
Nice Views,"Provides good panaromic view of NY. Clouds can be a dampener,.so make sure to check out the weather beforehand",Top of the Rock,50,November 2019,krgonline
Empire State Building view and museum..,"The museum although having a fun King Kong room - is not what I would consider a museum about the building. There is some art work creations and videos, images from movies and pics of celebrities that have been there... I was expecting to see maybe bolts and tools used and lots of original photos...but was disappointed to have one room with lots of text on the walls and the rest more like an art and celebrity exhibit. King king room was cool but so over crowded I couldn’t get a photo without 20 people in the shot.",Empire State Building,30,December 2019,Carly H
