title,travel_date,rating,place,usr_code,review
Great selection of Britto artwork!,December 2016,40,Britto Central,Vicki C,"Didn't realize a place like this existed until I stumbled upon it!  They have a great variety of Britto's works of art.  The employees there are knowledgeable and helpful. If you are a fan of Britto, you want to stop in!"
Wow,September 2016,40,Britto Central,PhilG294,We stopped in on our evening walk on Lincoln Road. I love the place. I saw some originals that I would love to buy - just too many digits in the price. But I did buy a small souvenir. You must visit.
Love this place!,August 2014,50,Miami Paper Museum,Naomi W,"Its a family business which adds that loving home feel to it. The owner Hernan was very kind and made a calligraphy bookmark with my name on. A beautiful souvenir I've kept with me throughout the years. Recently found out they moved and have an office in the Biltmore Hotel where they offer handmade paper invitations, i've yet to visit but am planning to in the weeks to come."
"Great beach, no lounge chairs to be had.",February 2015,50,Bal Harbour Beach,Tom P,Great beach trail and well maintained. Do bring a towel and your own chair. The beach hotels will not allow you to use or rent a lounge chair. No lifeguards on duty.
Fabolous,October 2018,40,Dolphin Mall,Romina86VR,Excellent mall and always big discount! Plenty of stores inside and a big food court! I really recommend it!
Really enjoyed it,January 2018,40,The Wolfsonian - Florida International University,Marie-NYNY,Small museum conveniently located in Miami Beach's Art Deco district. Beautiful building with good collection of furniture and appliances from early 1900's.  The Julius Klinger exhibit with advertising graphics from early 1900's was fantastic.
Best day of my life! I met Limbani :),August 2018,50,Zoological Wildlife Foundation,omegan2016,Omega from Sri Lanka!
It depends what you want,May 2019,30,Dolphin Mall,LeahT987,"There are tonnes of shops, but it seems to be more like an outlet mall than a 'normal' mall, yet it didn't have the offers/range of an outlet place so we found it a bit confused. I was surprised that there was no Sephora too - but it was foolish of me to assume. Lots of eatery options and shops, but its worth looking up what you'd be interested in. It may not have been for us, but the lady at reception at our hotel said people often visited there for days, so it clearly appeals to many others!"
"Attractive, fun, magical",December 2015,50,Art Basel,pablo s,"Very cool setup. Lots of nice activities, for both kids and adults alike. Last year was amazing, this year should be double the incredible."
Is not as good as a few years ago,December 2015,30,Art Basel,Kathy C,"I prefer Red Dot in MidTown, we bought tickets right there day of show."
These people are thieves,July 2018,10,Zoological Wildlife Foundation,fydlstyx,Do not spend your money with these people.
Wow,September 2018,50,Zoological Wildlife Foundation,Victor F,Definitely once in a lifetime experience getting to pet baby lions. Went for the 2hour tour. Got to see some amazing animals closer than any zoo I've been
A Must Do!,September 2018,40,Zoological Wildlife Foundation,adrenalinejunkie207,"My only recommendation to them would be to keep an eye on the restrooms (hubby said the men's room had no toilet paper or paper towels) and they really should make people use the hand sanitizer before handling the animals so the animals stay safe and healthy.  The bottle of Purell in the gazebo was empty.  Other than that, I have no complaints and enjoyed our visit to the ZWF.  I hope they can keep up their work with the animals and thank them for their efforts and allowing visitors to have such wonderful, hands-on encounters!"
Julius Klinger is a must-see,December 2017,50,The Wolfsonian - Florida International University,Christopher S,There is also a very good exhibition of prewar domestic appliances including a 1930s digital clock.
Nice beach whether you're staying at a hotel or not,March 2014,50,Bal Harbour Beach,Woody1811,"There's no food to buy or bathrooms to use on the beach itself that I could see, but you are able to walk into one of the many hotels on Collins and eat in the hotel restaurants, which then would give you access to food and restroom facilities."
Cool Stop Off Lincoln,May 2015,30,Britto Central,MeathookMike,Cool stop to make when walking Lincoln. A quick way to view some Miami artwork and escape the outdoor heat. A little bit for everyone in a variety of price ranges.
FREE plus WIFI on-board!,August 2018,50,Miami Trolley,Marcus H,"The Miami trolley is amazing!  First off it's FREE public transport - other cities take note - FREE!  There's FREE WIFI on-board which is very useful.  Also there's a fantastic FREE mobile app, giving you real-time location of the trolleys, plus their routes and schedules.  Parking is expensive in Miami - do away with the expensive & grief and take the trolley, it's fab!"
Miami bus tour including Little Havana,February 2019,50,Little Havana,amatterofstyle,"Worth every penny, on time schedules! Polite and friendly staff..seen  highlights of city and had boat tour included...only downfall which was annoying is the staff begging for tips...on the microphone, cheering at every tip deposited in their jar! Not necessary we know we should tip, it may have annoyed people enough ton NOT tip!"
Might not be leaving the beach for...,February 2018,30,Miami Beach Botanical Garden,atener_10,Surrounded by construction as of February 2018 which detracted from overall ambiance.  Not a very scenic walk to get there.  Free entry a plus.  May not be worth leaving the beach for.
Modish market area,July 2018,50,Miami Design District,sasithk,"Realism, modern, fashionable, well time and innovative art. Overall are always good figurative painters, the innovations in and out every square inch. Near by Museum. "
Charming street! ,November 2018,30,Espanola Way,Tripadvisbear,"However readers be aware! Just like Ocean Drive , the restaurants are a tourist trap! They will look busy and full of customers but the prices are super high and the food quality is super low! "
Nice place to find a nice restaurant,October 2018,30,Espanola Way,mjfreiresantos,Crowded at night with a huge variety of nice restaurants. Just walk around and enter a pleasant place or reserve in advance to avoid waiting time!  
A great way to get from place to place for free,June 2018,40,Metromover,TMACKSTER,There are many metromover stations throughout the downtown Miami area but it still may not be convenient depending on where you are. The good thig is that it's free and quick.
Easy,March 2019,50,Metromover,summergaze12,"One of the best ways to travel in downtown Miami! You avoid traffic, parking fees and overall expenses with this public transportation."
"Great, free way to get around. ",April 2019,50,Metromover,travelinteach,"Easy to use, free and safe at night. Two different loops make getting around easy. We used it after dinner at Bubba Gumps to get back to hotel at Hampton Suites by Hilton on Brickell. "
Beautiful Tropical Flowers,October 2018,40,Fairchild Tropical Botanic Garden,Dawn H," I like to buy postcards to use in my scrapbooks.  However, I really enjoyed my day there and I left with a lot of great pictures."
Lovely Florida attraction!,June 2018,50,Fairchild Tropical Botanic Garden,Gablesgirls,Don’t miss the butterfly garden. Beautiful! It is always relaxing and educational to visit the gardens. My teen loves to photograph the fauna and flora!
"Beautiful gardens, lovely engaging volunteers",April 2018,50,Fairchild Tropical Botanic Garden,Valerie D,I've been to Fairchild Tropical Botanic Garden twice now.  There is always something new to admire.  This is a relaxing oasis.  The butterfly garden is not to be missed.  
"Rare plants, Hummingbirds, and butterflies",November 2018,40,Fairchild Tropical Botanic Garden,551ellenm,"The Botanic garden was nice. There is a lush shaded rainforest area with water flowing through the area that is relaxing. The butterfly house was amazing, so many beautiful varieties of butterflies everywhere! Also there was an adorable hummingbird in the enclosure. Just through the butterfly garden were some rare and interesting plants. One complaint was that there were people working there on golf carts who drive at a fast pace down walkways occupied by guests, I think I had to move out of the way 3 times. "
An amazing garden,November 2018,50,Fairchild Tropical Botanic Garden,Gerard V,"We enjoyed our visit very much, first we took the tour with the trolley and the guide who was very knowledgeable and then we walked around. We stayed there for over 4 hours. We had lunch at the health café were the food was healthy and tasty and good and reasonably priced. We recommend it to all nature lovers. Butterflies pavilion is great too. Parking is free. Entrance is $18 for senior and $25 regulars"
Fast and Free way to get around Downtown Miami/Brickell,April 2019,50,Metromover,BarryL333,"The Metromover is convenient, fast and free, and I never seem to wait more than 5 minutes (9 am to 8 pm is my usual experience).  All of the stations I've been to have either escalators or an elevator or both.  A few of the elevators smell of urine at times so caution when entering (stairs/escalators avoid this!!!)"
Free and easy,April 2019,40,Metromover,JazboOttawa,"First time user, return trip. Worked perfectly. Never waited more than a few minutes. Bit crowded, but for a few stops, what the heck. And it's free."
Shop till you drop!,June 2019,50,Dolphin Mall,Dubaionmylist,Here you can find almost anything you want that a mall can offer.  You can also have dessert and coffee. You can dine or entertain your children. It is a nice place to have an outing as a family.
Every store you could ever want,June 2019,40,Dolphin Mall,tonichadviolet,We did not have much time to spend here before our flight out but this is a great mall. Every store you could ever want with what looks to be great resturants as well. This place is huge. There are also some outlet stores as well. Great way to spend a rainy day or if you love to shop this is the place to be. 
Shopping,April 2019,50,Dolphin Mall,Alfonso M,Excellent location to buy good merchandise at very reasonable prices. And a large variety of places to eat.
Shopping,July 2019,50,Dolphin Mall,YVP3,A good place to go shopping not too expensive in some everything in here is a good quality a known trade marks
Awesome experience,March 2019,40,Dolphin Mall,Marina M,I've never been to such a big mall so I only covered 75% of the ground floor as I only had four hours. Wonderful options. Didn't know that there were so many Spanish speaking persons living in Miami. Most of the store personnel were Spanish speaking....that was awesome! I would definitely visit again to cover the rest of the mall.
Party of 12,November 2018,50,Espanola Way,Linda H,We ate at Tapas and Tintos twice! Very friendly staff. Fun people. The Seafood and Meat Paella!!! Oh and the Sangria!
Nice for dining,August 2018,50,Espanola Way,Leisho,"It´s a nice change from the noise on busier streets like Lincoln Rd. or Ocean dr., this pedestrian street full of restaurants is a good alternative if you don´t want to listen to the traffic. Some recepcionists are a bit annoying whilst trying to convince you to choose theire place, and prices are maybe a bit high but i recommend it anyway."
Great place for dinner,September 2018,50,Espanola Way,saphirasstory,"Española Way is a small street with quite some lovely and good restaurants. It looks very nice in the evenings with all the lights and the music, and the few restaurants I have been at served great food!"
High level shopping,May 2018,50,Miami Design District,Tica S,"Love the shops around this place, if you have the chance to be there on friday night, you will be so lucky to have great live music.  The food? try Estefan Kitchen, love it"
Nice High-End Shopping Experience,July 2018,50,Miami Design District,juliegI6249SD,"If you are looking for beautiful merchandise, this is the place to be.  Everything is available from clothing to art to lighting, flooring and furniture.  "
Miami Design District,August 2017,40,Miami Design District,MatsSamaras,"//Mats Samaras, Stockholm, Sweden"
Great Find!,June 2018,40,Miami Design District,lmhoffman999,Found this District by accident and fell in love with it. Great shops and places to eat. Great afternoon walk around.
Loved it!,February 2018,50,Miami Beach Botanical Garden,angelika55,"I went there on a Saturday afternoon and I was so glad I did. Took a little while to find since there is construction going on but you just look at a map or ask people. Again by bus, bus drivers if English speaking are helpful! Park is beautiful, Koi -fishes- ponds, plants and a very sweet man in the gift shop. Overall I loved it! "
A GEM in a small space - and FREE,February 2018,40,Miami Beach Botanical Garden,bginct,"Wonderful short break into an informative oasis with friendly staff.  Perfect for a short, calming, break from everything else in South Beach. While you do hear construction noise in the background it does not drown out the sounds of nature that call the gardens home.  The staff that mingle around a helpful, as is the free audio tour you can take by calling on your cell, the number listed on each info plaque.  There is a ton of great seating throughout the garden to sit and enjoy the space.  Our only regret is that we didn't bring good books to stay a while longer in this peaceful oasis.  The garden is well designed, fitting in a huge number of different plant examples and creating many different gardens that feel separate but flow flawlessly together."
Spoilt by noisy construction work,February 2018,30,Miami Beach Botanical Garden,835jenny,"Garden is quite small, but well laid out and tended. Lots of interesting plants and beautiful butterflies . Unfortunately there is a major construction of the massive new convention centre going on right alongside which was very noisy and spoilt what should have been a tranquil spot."
A good work- in- progress.,February 2018,40,Miami Beach Botanical Garden,mrsagf,"A brilliant conversion in 2011 from a humdrum city park into a botanical garden. Has a great future when more interpretive signage and more unusual plantings are added, and when the massive construction job next door is completed. Will certainly benefit urban workers/dwellers but may not be worth a trip from the beach, due to small size (2.6 acres). Congratulations to the visionaries and volunteers involved here."
Really fun strip!,March 2019,40,Little Havana,Judy L,"Everything else you've probably read about Little Havana is true. The blocks bet. 13 and 17 ave are the core and if you go slow you get to see some authentic culture, great ice cream, nice galleries. We also detoured to Wynwood to take in some more art galleries, but tourists beware. Not only are many of them closed (some moving to Little Haiti), we found this to be the case throughout Miami beach - galleries show up as ""Open Now"" online, but are not. Call ahead. Back to Little Havana - if I had had more time, I'd have spent the day asking the guys in the parks to teach me dominos! "
Miami Culinary Tours,March 2019,50,Little Havana,Marsha F,Had a great tour with Robyn. Very informative and fun. She added a lot of personal touches. Best part was the BAll and Chain bar.
Nice to see,January 2019,40,Little Havana,erik702,"This is a place you have to see when you visit Miami.      It is not that big as some people say but you have to enjoy the ""Havana"" atmosphere when you pass by the local bars and listen to their music.  "
A happening,March 2019,40,Little Havana,AndreaUbok,"Lot's of tourists & locals fill the streets of this trendy neighborhood.  Colorful people & colorful shops we feel as though we have left Florida for a time.  Good salsa music & dancing, delicious Cuban food & happy hour drink specials make Little Havana a real happening.  There is street metered parking, the tourist bus passes through as does the trolly.  .  We get start walking west along 8th street from Domino Park."
very good way to get to cruise port,April 2018,50,Miami Trolley,john m,We walked 2 blocks to the trolley from the hotel and caught the free trolley to the cruise port.  The ship was only a 4 minute walk from the trolley.
Fantastic free bus service,September 2018,50,Miami Trolley,Alan S,I would highly recommend using this service when staying on South Beach Miami.
ANOTHER EXCELLENT WAY OF TRANSPORTATION IN MIAMI,October 2017,50,Miami Trolley,Carlos C,"If you want to reduce your walking time, the Trolley is a good solution, and free. Now you can move not only within down town but several blocks out of down town.You can also combine the Trolley with the Metro as most of the Trolley has stops in most of the metro stations. Besides, the chauffeurs are very nice people !!! "
Excellent way to travel,September 2018,50,Miami Trolley,Gowermoo,Free regular travel covering all of Miami Beach. Well informed drivers and many pick up spots. Three separate routes 
A Must for Britto fans,January 2016,50,Britto Central,jcisinthehouse,"This gallery is beautiful, there are pieces you won't find somewhere else. Britto is an icon in modern art and this is the place where you have to buy stuff, everywhere else is more expensive."
Great little art shop,January 2016,50,Britto Central,abtisam1,"I love Britto, but it's too expensive for me. This shop/museum was open to walk through and see all the brightly colored artwork. I didn't buy anything, but it was fun to look. Not sure Id' bring small children in here, since the pieces are so expensive. "
Cool stuff,January 2016,50,Britto Central,Akma4,"Fun colorful paintings, prints and sculpture. Reminds me of Peter Max. Great gallery to educate the young kids. A must to see while shopping on Lincoln Rd"
Britto Art Gallery,January 2016,50,Britto Central,MissERM,"If you like bright colors and creativity, you will LOVE Britto Central!  They have some of the best talented sales professionals who will guide you through the gallery and tell you the history behind each piece of art. They are very friendly and informative about everything in the gallery. Whether you are in the market to purchase a piece of art or just want to browse around and enjoy the beautiful artwork, you will definitely enjoy your visit!"
It's a perfect beach for family and friends,April 2014,50,Bal Harbour Beach,BostonHarbor,"This is not South Beach.   It is not a ""beautiful people"" beach. It is for normal people.  It is absolutely gorgeous with a fabulous walking path and great sand and palm trees."
Still beautiful,November 2013,50,Bal Harbour Beach,Marcella D,"Bal Harbour is still a beautiful place to visit.  The beach, the shops, the restaurants.  yet take note, it is not for the budget concious.  Nothing in or around the Bal Harbour area will be inexpensive."
Perfect Miami beach for chilling,July 2014,40,Bal Harbour Beach,glymaa,"Tropical stretches of beautiful sandy beach, palm trees and water perfect for swimming..especially midweek. Families on the weekends but still able to find quiet spots...can walk for miles along the shoreline. At the northernmost tip of the island of Miami Beach, well worth spending a low key afternoon swimming.  On weekends lots of boaters partying offshore especially on the Intracoastal side of Haulover Beach, just north and visible from Bal Harbour beach. Don't miss the views from the fishing pier very popular with locals.  Lifeguards but no food concessions and limited inconvenient toilet facilities..so plan accordingly. Parking can also be scarce on weekends. If you are looking for South Beach buzz and hype, this is NOT for you."
"butler on the beach - oh, YES!",June 2014,50,Bal Harbour Beach,robert_dc,...and than butler has adjusted our umbrellas so we can continue enjoying the shade...................................................................................................
AWESOME Museum,December 2017,50,The Wolfsonian - Florida International University,vipir2985,"I took my mother and he history of thus museum us amazing. The man who housed his art collection here, and the art from past history is. A must See!!! Cheap entertainment. Friday evening was free."
brilliant. A lovely surprise,January 2018,50,The Wolfsonian - Florida International University,Oliverjulian,Everything worked here. The building is a delight and the price of entry reasonable. The permanent collection was full of fascinating items and the special exhibition of Julius Klinger posters a delight and a revelation. He died in a concentration camp- a great talent snuffed out. The scale is quite modest but the quality makes up for it. Go.
Exceptional ,January 2018,50,The Wolfsonian - Florida International University,MrDHorsham,I’m don’t have a huge attention span. This had me from start to finish gripped into the story. From floor to floor each exhibit had clearly been carefully curated to tell a story. A powerful and compelling story that no matter your age you’ll be able to connect to. Great way to spend an hour or two whilst here in Miami.
Superb collection for design buffs,January 2018,50,The Wolfsonian - Florida International University,PhilippeM10,"In the heart of the Art Deco district, this museum offers a trip in the machine age. Comprehensive and not too long, you will see design icons such as the Bluebird radio. Temporary exibits are also very well presented. We saw one about a important designer Julius Linger, impressive. A must for design lovers!"
Very Interesting Place to visit,May 2018,50,Zoological Wildlife Foundation,TathyK123,I recommend paying attention to the route because it's not easy to find the place
Baby jaguar,October 2018,50,Zoological Wildlife Foundation,sheenak45,Unbelieveable!!! An amazing experience and the staff is so nice!! Got to meet hold and play with their new baby jaguar! Highly recommend 
Very nice ,October 2018,50,Tom's NFL,Tanya2808,Staff is very friendly and the service is fast.  
"Great food, super quick service",January 2019,50,Tom's NFL,Tina R,We brought our group of 8 here before boarding a plane to go home after a cruise. Our hotel desk clerk suggested it when I told him we were looking for a family friendly sports bar. We were not disappointed. The service was quick and prompt and the food was delicious. I highly recommend the mahi mahi fingers (appetizers) and hot wings. The atmosphere was laid back and friendly with lots of tv's as well as a pool table and games to keep the kids occupied while waiting for the food. The best part was how prompt and quickly the food came out. Very impressed and highly recommend.
Tacos and wings,January 2019,50,Tom's NFL,crgardner,"Stopped in here because it was within walking distance from our hotel. Great atmosphere, delicious food and drinks. Had the wings and tacos. No complaints with either. Would definitely go again. "
"Good food, terrible service",March 2019,30,Tom's NFL,Sandym19480428,The burgers and fries were very good but the service was terrible. Waited for over ten minutes for anyone to approach our table. Went to the bar to order drinks and that finally prompted someone to notice us. Would have left but only other options were McDonalds and IHOP.
Lunch the night before a cruise,June 2019,40,Tom's NFL,589arturol,Lunch was great. The wings were as advertised. We had a burger and it was very good. Enjoyed a local microbrew. Service was decent but nothing special. Food was well worth it. I would go back again 
Contemporary art from around the globe,December 2016,40,Art Basel,Jeffrey H,And some of it quite good.  Very civilized venue and well-attended.There is much to do and see and savor.
Art Basel Highlights Creativity,December 2016,50,Art Basel,925judithn,"Returning to Art Basel for the third year reminds me that art can be cutting edge, fun and eye opening. The best venues are Art Miami and Context in Midtown and Aqua in South Beach as well as Pulse. For neighborhood atmosphere , food and music Wynwood is the destination. Nighttime is an amazing time to feel the pulse of Art Basel in Wynwood. People watching brings a fashion parade. Coming back next year. Would not miss it!"
Everyone Complains And Still Everyone Goes,December 2016,40,Art Basel,William B,Just watch your wallet - it will suddenly be lighter due to that box they are preparing to ship your purchases home.
Handicapped Unfriendly!,December 2018,10,Fairchild Tropical Botanic Garden,rricri,"I have given this event a 1, because a 0 was unavailable.  Although my nephew and I were eagerly anticipating seeing the Night Garden at Fairchild Gardens, we were greatly disappointed.  We went Thursday night, December 6, 2018.  I walk with a walker, and I found that the way the event was designed was totally unacceptable for the handicapped.  The event planners designed the walkway over grass that had holes in it.  It was impossible to see the holes because of the poor lighting, making it impossible to navigate with a walker.  We had to leave without seeing hardly anything of the Night Garden.  Please be advised that this event was not designed by Fairchild Gardens, even though it was held there.  Fairchild Gardens has plenty of walkways that are handicapped accessible, but Night Garden did not use these.  Exiting the Gardens was even difficult by car because of the horrible lighting."
Beautiful tropical garden,November 2018,50,Fairchild Tropical Botanic Garden,Gwenn M,This garden covers many acres with winding paths through different plant collections. I always find a visit very relaxing.  Don't miss the grotto or the butterfly exhibit.
Save your money and go somewhere else.,December 2018,20,Fairchild Tropical Botanic Garden,wanderlustjj18,"I was so excited to visit the Night Garden with my family, and we were all willing to pay the hefty price tag of $30/person expecting it to be a cool experience. It was not worth it. There was mud everywhere. It was packed (why reserve specific time slots online?). I feel terrible wasting $125 for my family and I and that’s the honest truth."
What an amazing collection of tropical plants!,December 2018,50,Fairchild Tropical Botanic Garden,SUE H,This was our first visit to these gardens and they were very nice.  Some of the plants are huge and when you stand next to them you think you are in a Sci-Fi movie!  There are paths with signage and a variety of plants and ponds to view.  Excellent photo opportunities.  We also attended their night time light show; very interesting.
Do not visit the night garden!,December 2018,10,Fairchild Tropical Botanic Garden,S2000STEALTHBOX,"Also this event was advertised as as holiday event and it has nothing to do with the holidays.  No music, lights, Nothing. So don't go expecting any holiday festivities."
Trip from south beach Miami,July 2019,40,Dolphin Mall,SarahCF28,Great days shopping. Plenty of options for food. Great value in shops. Only about $30 in uber from south beach 
You would need the full day here.Plenty of shops.,June 2019,50,Dolphin Mall,Helen F,Yes was here recently and enjoyed the day.Plenty of bargains.Lots of restaurants.The zones in the mall are done by colour which is  quite simple to follow. .the bus runs from some of the hotels and it also goes from the airport.
Wow 😲,July 2019,50,Dolphin Mall,961Catherine182,"I was thrilled we went there as the previous day we went to Aventura Mall & we didn’t like it.  This is the kinda malls i like with lots of eatery & lots of factory outlets not to mention Burlington as well as Ross inside the mall. A lot of bargains, not sure whether it is  because of the 4th july sales or not. Worth going."
Mall lovers' dream,July 2019,50,Dolphin Mall,Vitarachel,"This is an awesome outlet mall.  It is full of people (I can't imagine what it's like during high season), and lively.  There are restaurants surrounding it, and a food court inside.  If you don't know, Spanish is the predominant language in Miami, and doubly (if that is possible) for this mall.  But everyone also speaks English.  I love malls and this one did not disappoint.  Clean, lively, and it felt safe."
Pleasant Surprise---Large Portions,January 2018,50,Tom's NFL,lockandgo,Decided to eat here as it was part of the Ramada hotel. Pub setting........with a nice menu and large portions of tasty food. Thumbs Up to this restaurant.
Good food and good service,January 2018,40,Tom's NFL,Worldly2013,"This venue is walking distance from Comfort Suites, they have food and alcohol at reasonable prices, so no need to pay expensive taxi fares unless you want to eat in a fancy restaurant."
Great Establishment ,March 2018,50,Tom's NFL,Saltangler,"You can't go wrong if your hungry or thirsty. The atmosphere is friendly with an incredible staff. Food is wonderful and filling. If you show up during the day ask for the barmaid Christine, great personality. A+++++ all the way. Stop on in you can't go wrong"
Great place to visit.,February 2018,50,Tom's NFL,paula_pregler,"We were staying at the Miami Springs Holiday Inn Express and decided to walk over for lunch and some drinks.   Very nice atmosphere, friendly staff and great food."
Drinks!,February 2018,40,Tom's NFL,tooters111,Good food and very nice selection of beers and cocktails. Located close enough to our hotel to walk so was perfect in food and location.
So cool!,April 2019,50,Metromover,Mnochaj,We loved taking the metromover. It's so easy to get around in the centre of Miami! I hope more cities gets inspired by this.
Fun and practical!,May 2019,50,Metromover,murielboiteau,"The brickel area is always congested with trafic, and it takes a long time to do a little distance. The metro mover is very practical and allow to enjoy the view of Miami with the sea and its architecture."
Easy and FREE Downtown Miami transportation,April 2019,50,Metromover,ValleyTiger,"Highly recommend the downtown Metromover service for easy and FREE trips from your downtown hotel. We visited Bayside Marketplace, Brickell, the Riverwalk, and you can even get to the airport if you connect to the Metrorail at Government station. Security was always present and the cars seemed well maintained and clean."
Stop and Go!,May 2019,30,Metromover,L5708EWlauras,"It is a great option in the downtown area since parking is always a problem. The only reason I give 3 Stars is because every time it stops, it takes too long... Other than that is a wonderful way to commute."
Free transport in central Miami,May 2019,50,Metromover,FTMDave,Easy-to-follow maps in every carriage & station.  The latter also show where to change to bus & train options.  Security guards in several stations.
Wonderful restaurants,May 2018,30,Espanola Way,MarilynKay16,"We enjoyed this area also.  Such a very different feel to this area compared to Ocean drive. Quieter during the day, but lively at night with it's many choice of restaurants. "
No big deal!,January 2019,30,Espanola Way,M3427FIwilliams,This is DEFINITELY NOT a “destination”. This is one section of a street that is quite picturesque but otherwise nothing special. There are lots of mediocre restaurants and tourist shops. If you are nearby you might as well stop here but would not go out of my way to visit.
Expensive,January 2019,10,Espanola Way,Samcaplen,The night life is good and is very buzzy but it’s very expensive. $19 for a glass of white wine! 3 of us ate here had 3 beers 2 wines and a coke plus 3 main meals and it came to $210!! Go just to see it but don’t eat it’s wayyyyyyy to expensive. The food is average as well it’s nothing special.
Great for dinner options ,January 2019,40,Espanola Way,refcon,"Come at night for the best time on this very small, but quaint street. I come here to have a nice Italian meal. Christmas time is nice with all the lights too"
Lively,January 2019,50,Espanola Way,Ghamzak,"We just passed by Espanola way around 10pm, and we really enjoyed the environment, especially the live music. "
Great Design Architecture~,August 2018,40,Miami Design District,袁 牧,"many beautiful buildings here and although we didn't shop here, looking around brands like Gucci, Hermes, Rick Owens and so on is really cool :)"
Good atmosphere,August 2017,40,Tom's NFL,ahuaslinda,Steak ok
Take out,April 2017,40,Tom's NFL,off_limit,Nice place for watching sports while you are not in the city. Food is really good. Especially it's spicy wings! I loved it.
Good food,May 2017,40,Tom's NFL,sandybZ8370VS,Nice dinner when we arrived in Miami.  We was seated right away. Nice servers.  Short walk from our hotel. Walking right next to traffic was eye opening but do-able. 
Sports night,June 2017,50,Tom's NFL,david g,Good bar plenty of ale to choose from good selection of food from the menu staff very helpful and quick to serve.
great chicken wings!,April 2017,50,Tom's NFL,SparklingRitz,"My husband and I, love the chicken wings at Tom's NFL. They also have a lot of beer and craft beer selections."
"ART, CONCERT AND FOOD",March 2018,50,Miami Design District,Mimi Q,"vibrant environment to enjoy excellent concerts and art exhibitions.  Specially Wynwood area with different artists and galleries , as well as, excellent restaurants."
Love this area of Miami,August 2018,50,Miami Design District,marcosquintero,Many nice restaurants and eateries through out the area.
Must must must,August 2018,50,Miami Design District,Shukile,"Celine is the best, then Hermès but the I tire neighborhood is a real blast! "
Newest part of MIAMI is a winner,May 2018,50,Miami Design District,nraskind,"The design district is Miami’s newest ‘neighborhood’ and not just for Gucci & Prada, MULTIPLE AWESOME food options all around and free Salsa  concerts weekends"
Unexpected highlight,April 2018,50,Miami Beach Botanical Garden,jmechler14,"We wandered through the botanical gardens after brunch Sunday morning. The space is beautiful and well designed; very tranquil in the middle of an otherwise urban area.  The best part is free admission, definitely worth a walk through if you're in the area. "
Extraordinary!,April 2018,50,Miami Beach Botanical Garden,Alice B,Beautiful gardens! Well-kept! Nicely labeled! Interesting and unique varieties of species from all over the world. Gaylord in the gift shop is a gem! He knows EVERYTHING about the gardens and is so gracious and personable and fun and enthusiastic and knowledgable and generous with his time! Wish we could have taken a tour with him. Wonderful brochure/map to follow along. Lovely oasis in the busy city to spend a couple of hours on a glorious day! Will definitely return! And.......admission is FREE! Amazing!
Pretty but crowded!,July 2017,30,Miami Beach Botanical Garden,SouthernDreamsFromUT,"The wait was so long when we went... I recommend going early or on a weekday. It is very nice, but not as relaxing as it could have been."
