review,travel_date,place,title,usr_code,rating
"Rev. Al Green (yes, that one!) leads a spirited service, encouraging audience participation. Even if you don't agree with the specific message, the general enthusiasm is all encompassing.",March 2016,Full Gospel Tabernacle,"Highlight of my trip, and I'm not Christian!",WriterJane,50
"Small groups are led through the distilling process of this Memphis gem. You will learn and see all the materials used in the making of fine whiskey, vodka and toddy's. The tour will culminate with a tasting, helping you to understand the subtle differences of each spirit offered. There's an excellent gift store too, offering unique spirit related gifts not available elsewhere.",March 2018,Old Dominick Distillery,Learn about Whiskey and Vodka distilling in Memphis. Excellent tour and tasting.,Larry C,50
"Just a statue of Elvis well done, a photo opportunity. Beale street is the main sightseeing st. in Memphis",September 2018,Statue of Elvis,Quick stop on bus tour for photo's.,GeorgeP4162,50
"Unfortunately we had a full day planned and weren't able to stay as long as we would have liked, but if ever back in Memphis, we''d certainly go again.",April 2015,Full Gospel Tabernacle,A wonderful start to a Sunday,robin490,50
The church is in a road off Elvis Presley blvd but you need a car or transport to get there.  Tourists outnumbered the local congregation but it was not crowded.  The service is long but you can leave when you like.  Bishop A.L. Green always arrives late.  The service starts at 11.30 on a Sunday morning.  He arrived at 12 but the service does start around 11.30.  There is singing and responses from the congregation and preaching all at top volume.  A good use if a Sunday morning.,October 2015,Full Gospel Tabernacle,Good Sunday morning,jillhoy,40
"This is a strange conglomeration of artifacts (off the beaten path), which comes primarily from the Asian influence, offers a horrific display of ivory carvings, a modest collection of jade decorations, and a simple gathering of Judaica items including a small holocaust collection. The irony of juxtaposing an ivory display (that essentially represents the elimination of an entire species of animals) with a modest holocaust memorial and calling it art can not be lost on the viewer. Clearly not worth the time - which is probably why no one else was in the museum the day I stopped in, and the singular attendant was lost in a book he was reading.",January 2017,Belz Museum of Asian & Judaic Art,Unfortunate and Bizarre,JanetJulia,20
"I accompanied my wife with her jewelry making class from UL.  They were volunteers at Repair Days 2017.  It was a great event!  I am more into old machinery and machine work but techniques used are for the most part the same.  I particularly enjoyed the tinning and iron pouring.  There is a foundry and blacksmith shop which are very well organized.  Not to be missed of course is the museum itself which houses an extensive collection of metalwork.  The setting for the museum itself is fantastic - wooded, across from a park and on the river.  A must.",September 2017,Metal Museum,Not to be missed when in Memphis!,gregdLA,50
"Ok.. i got to admit, i am normally not visiting any church. But as the trip to Memphis was meant for my parents i made an exception. My dad really wanted to see a gospel choir and because we were visiting Graceland it was the next thing to do. The church is only 10 minutes away from Graceland and of course it is famous for All Green being the pastor there. We were there earlie, when there was still Sunday school. We were invited to come back later, service started at 11:30. If you are considering visiting here, than even 11:30 is still earlie and it won't be a problem to arrive later than that. The locals do to, they drop in at just any time. Fully dressed up, even the small children. Th gospel choir is amazing, you cant sit still. Mr All Green was there and the service was friendly, loving, funny and respect full to every one. People are singing, dancing and emotionally very involved. It was something i had never experienced before and it was worth every minute!  If we had more churches like this in the world, i believe people would be more at ease with one another and this world would become a better place.",September 2014,Full Gospel Tabernacle,Angels voices,Yvon D,50
"Highly recommend this tour! It is extremely intimate tour. Tabby way awesome!!!! She really knew the history of the brand and had great knowledge of the process of making the product. She had a passion for it and it made the tour that much better.  We were able to interact with the product in the fermentation process which was really cool! If you are in Memphis and enjoy Toddy, Vodka, and/or Whiskey this is a must do tour.",June 2017,Old Dominick Distillery,Great Tour!,rhenness11,50
This is a great place to take a stroll along the Mississippi River!  Then sit in a rocking chair with a drink from the only restaurant along here and watch the sun set.  It was stunning!,October 2017,Beale Street Landing,Loved it!,Brenda Donselma... T,50
"Someone took an awesome (pink) historic building and turned it into a wedding venue while building a horrible modern attachment to it and called it by the same name. The sad thing is they could have improved the historic building, used it in the evenings for weddings as other places do and still kept its historic presence. Average museum. ",June 2016,Pink Palace Museum,Sad,Suzyraye,10
"Been going here for years, but lately the place has gone down to the dogs. It's gotten to be a huge Chuck E. Cheeses - except Chuck has better food. The place is always dirty now and some noisy construction is always a sure bet. The prices keep going up and up which will make it impossible for ALL children to be able to enjoy it, probably their intention.",March 2016,The Children's Museum of Memphis,Expensive and Going Downhill,HighwayStar87,10
"This was truly a memorable experience for our group of 13 travelling friends (both children and adults).  All of us were truly inspired and felt at ease joining in with the congregation in celebrating, singing and praising God.  We felt blessed in being able to have experienced the sermon by Rev Al Green and the choir and band were truly amazing.  They recommend a $2.00 tithe each and this didn't bother us at all.  Warning though, it is not the 1 hour church regulated service you get in Australian churches - it is quite sporadic and inspiring.  Rev Green burst into song and varying praises at any given time.  God Bless.",September 2013,Full Gospel Tabernacle,Rev Al Green - a legend,Muffin68,50
So the next Sunday you are in memphis I'd say this is a must see....,March 2013,Full Gospel Tabernacle,A welcoming and awesome experience,kelkal,40
"Easy walk from Beale Street area.  Lots of walking potential and very clean.  Area to sit in a ricking chair and ""ponder"" life or watch the river boats come in.  Food and drink available in the Front Porch Riverfront cafe.  Liked that they had an outdoor fitness train and people were using it on a weekday morning.  Very clean and felt very safe.",September 2017,Beale Street Landing,Easy free thing to do in Memphis,Linda S,50
"This gorgeous house faced with Georgian pink marble was built by the fellow who invented the idea of 'pick your own groceries' stores. It is now an interesting museum.  A highlight for me was the three-wall panel mural painted by Burton Callicott, a well-known local artist, under the Works Progress Administration (WPA), the largest and most ambitious American New Deal agency.  Good news is they are upgrading the approach to mural and providing more information in the near future.  Many local exhibitions clothing, nature, fine craft, etc.  ",February 2017,Pink Palace Museum,Gorgeous architecture and quirky fascinating collections,rawlinsarchive,40
"Not the best or largest children's museum I have ever experienced, but it is very good to spend a day with children.  In the summer, the rating goes to a 5 star because of the waterpark - kids LOVE IT. ",June 2016,The Children's Museum of Memphis,Nice museum,Familyfun38104,40
This museum has both indoor and outdoor exhibits to see.  I discovered it on Groupon.  (Groupon has opened my eyes to many unique places to see while traveling!)  We had a beautiful day and just enjoyed some quiet time strolling through.  Ask about the history of the buildings; very interesting.,February 2017,Metal Museum,A Quiet Adventure in Memphis...,Michelle T,50
There were two interesting exhibits when we were there.  One was a jewelry artist and the other was an anti-gun sculptor.  Both were great.  The permanent collection is fairly small.  There was no one working in the shop so we didn't get to see any demos other than those on the videos.  I would go again when they get new exhibitors.,February 2017,Metal Museum,Small but very interesting,citidwel,40
"I have been attending concerts at the Shell for at least 6 years now, when I started going there would only be about 400 people there for each concert now there are thousands  I have seen some fabulous concerts here.  We are so lucky to have it here.",October 2015,Levitt Shell,Best music venue in Memphis!,scud512015,50
"We were on our way Home and made quick stop well ok maybe not. We got the cd tour very confusing at first it be talking about someone/stone and the cd might have you turn, then the stone it was talking about would be behind you and you would have to back up.We were taking our time looking and listening to the cd and the car behind us didn't want to take in the history and just wanted to go! We enjoyed it very much just give yourself time to take in the history.",July 2016,Elmwood Cemetery,Lots of history,ttzak,40
could see the river liked the river i liked being able to just people watch!@#$%^&*()_)(*&^%$#@!@#$%^&*()_)(*&^%$#@!@#$%^&*()(*&^%$#@@#$%^&*(),August 2014,Tom Lee Park,a day for a family bonding,lizzybet,30
"Gardens were nice. The gallery is under renovations until fall of 2015. While it's being remodeled, the garden is ""pay-what-you-want"". Plan to return to see the gallery. ",April 2015,Dixon Gallery & Gardens,Art gallery under renovation,Sharon11112,30
It was a great way to spend about 2-3 hours learning the history of cotton and blues music to the South!  ,July 2016,The Cotton Museum at the Memphis Cotton Exchange,Excellent!,BT1115,50
We did a river boat cruise from Beale Street Landing.  The cruise was relaxing.  Beale Street landing has a restaurant that looks out over the Mississippi river.  Very relaxing.,June 2017,Beale Street Landing,Mississppi Riverboat Cruise from Beale Street Landing,BethAnnM2014,40
This location is lovely. It is a beautiful waterfront area and a perfect place for a stroll or job. It was really hot the day we went so it was a very short visit. ,July 2017,Beale Street Landing,Lovely,mommypennylane,40
We walked to Beale Street Landing one day to see the river; then returned on another day to catch a Paddle Boat ride.  ,July 2017,Beale Street Landing,Catch a Paddle boat ride,Terry P,50
"The Pink Palace Museum is a place I have fond memories of from my childhood and I love taking my own children there now. The summer months they offer FREE memberships so you can go as often as you like. The planetarium is really spectacular, as is the IMax theater! So much to see, so much to learn, and always something new and exciting. We LOVE the Pink Palace!",December 2016,Pink Palace Museum,An Underrated Gem in Memphis,Mom2Twincesses,40
I was reluctant to go to this attraction but I would have missed a true beauty.  We spent about one hour in viewing the amazing collection of Chinese art.  Huge pieces of sculpted jade and ivory are overwhelming.  Large pieces of bronze are also quite impressive.  If you like cloisonné and cinnabar they have plenty of that too.  This is a very impressive collection.  We got a Groupon that covered admission and gave us a $10 credit for the gift shop (we have 3 little buddas to take home).  We did not see any other visitors during our stay and the gift shop worker said that they have about 10 per day during the week but more on the weekends.  I would not miss this place if you are interested in Chinese art.  The Judaic section was much less impressive but it did have a nice tribute to holocaust survivors who made their homes in Memphis after the war.  I was surprised how many survivors lived in this city.,May 2016,Belz Museum of Asian & Judaic Art,Diamond in the rough,Robert R,50
Memphis and music are synonymous embodied by Elvis of course. So its only right that the city acknowledges its finest with this statute close to Beale Street ,March 2018,Statue of Elvis,Fitting tribute,Peter F,40
We love visiting the CMOM and do often. There are so many things to do and see here but unfortunately so many of them need updates or aren't in great running order (the fishing area). I do love the play area inside for young children. My kids love it there (4yo & 2yo) and I love it because there is a door that closes so I know they're safe. The outside play area is also fun - more geared toward older kids.,June 2016,The Children's Museum of Memphis,"Good, could be great.",aduggan520,40
My 7 year old loved the Skyscraper crawl through thingy.  My 14 year old loved flying the computerized airplane.  And it was a toss up for my 3 and 5 year olds between the air ducts with scarves and large Pom poms speeding through them or the fishing area on the Mississippi.  A good time and must visit.  We did not visit the attached splash pad or playground as it cost as much for admission as the museum.,June 2016,The Children's Museum of Memphis,"A good time, but can get through it in about 2 hours.",bunnyshollow,40
"It cost us more to do the Children's Museum of Memphis than it did for us to go to the Zoo.  I have 4 kids ranging in age from 21 months to 6 years and they all had fun.  There were some exhibits that were a bit dated and some that seemed brand new.  There was good variety and a little bit for all ages.  We spent about 2 hours in total there and did not do the outdoor stuff.  My 6 year old was starting to get bored, but the younger ones could have kept going.",June 2016,The Children's Museum of Memphis,Pricey but fun for the littles,KayseyRay,40
As a frequent visitor when traveling to Memphis I've longed to take advantage of one their class. The opportunity presented itself and I was pleased to take the all day intro to welding class. With only five participants there was exceptional personalized instructions from Lewis. Attention to safety and equipment was thorough and professional. As the only woman in the class I'd like to encourage others as it was such a great experience. ,November 2016,Metal Museum,Take a class - you won't regret it ,GhiaGal1,50
"We stopped in later in the afternoon and spent about 2 hours at the museum. Our daughters age 12 and 7 enjoyed the exhibits as well as the demonstrations. The artists doing the demonstrations were friendly and knowledgeable. If I were local, I would definitely become a frequent visitor. As an art museum, it was small enough to hold all of our attention throughout each of the exhibits (indoors and out). We got lucky and arrived at the time of the demonstrations. I would recommend calling in advance to time your visit. ",November 2016,Metal Museum,Great Museum,SouthCoastMama,50
"I am ashamed to say that I have lived all my life in Memphis without visiting this place.  My daughter and I went last Sunday and it was a great experience.  There are several buildings with different displays, some experiential such as smithy work and molding pewter work.  There is a library building, with another exhibit. The site is on an elevated bank of the Mississippi River with a great view.  And there are great gift shops!  I heartily recommend a visit!",November 2016,Metal Museum,A Hidden Gem,MemphisWanderlust,40
"R & B singer Al Green shares his passion for God at the Full Gospel Tabernacle Church in Whitehaven, just south of downtown Memphis, Tennessee not too far from Graceland. There is no way to know if Rev. Al Green will be at the church services, but he is there most Sundays when he is not touring. Put this on you ""Memphis Essentials"" list when you visit this great city.  Cross your fingers and hope you are lucky enough to see this man transported by the spirit as he sings and preaches to his congregation.",March 2011,Full Gospel Tabernacle,Don't miss Rev. AL Green if you come to Memphis!,photographersabroad,50
"If you are in Memphis on a Sunday, then don't hesitate! Al Green is a great speaker and the mood is perfect! The band plays well and the choir is just as mad as you might expected. It's great that this is not a well known ""attraction"", and this is the gospel on its best. Be aware - two and a half hours of good old American gospel!",July 2011,Full Gospel Tabernacle,Go there!,Freddyfreeze,50
 ,December 2016,Metal Museum,A real find Not to be Missed ,CruzanLady,50
"Unusual subject for a museum, absolutely gorgeous venue, a working facility for a lost art form. If you aren't fascinated by metalwork before you visit - you will be afterwards. Do this!",September 2016,Metal Museum,Only 1 of 2 Metal Museums in the world,PaynewayWalker,50
"I thought this museum was great. If it's hot outside this is the place to go. The museum alone is $12, if you want to go outside and do the splash pad and outdoor play area it's $20. It's a bit pricey, when you do the outside area, since you have to pay for adults to, even if you aren't getting in the splash pad. Nothing museum itself was wonderful, definitely worth the $12. There are s ton of activities for the little ones, you could easily spend 2 to 3 hours just in the museum alone. I really think it's geared probably ages 3 to 11. This is definitely a must see if you have littles . They have several different areas of activities, they even have a four and under. FUD activities include a mini grocery store web print an actual receipt, a life-size light bright box, a fire truck, police car, police motorcycle, green screen and so much more. If you're nursing mom they have an air-conditioned room they can take you to.",July 2016,The Children's Museum of Memphis,Lots of hands-on fun!,kimpossible33,50
"Memphis is lucky to have this place, especially since the upgrade.  The displays are interactive and educational. Plenty of staffing to make sure kids are safe. The new water park is awesome as is the outdoor playground complete with kiddy zip lines. Very clean,  very safe, one of the treasures of Memphis. ",July 2016,The Children's Museum of Memphis,Great place to take younger kids,eatbread,50
"What could possibly be wrong with an Elvis statue, unless it didnt look like him?  Great photo spot with the King!",April 2018,Statue of Elvis,Elvis Rocks!,rob788,40
My husband (the photographer) wasn't keen to take photos of this life-like statue of Elvis but I insisted....we've both so pleased....they came out better in the photos.  A nice memento as there isn't any statue like this at Graceland.,March 2018,Statue of Elvis,Looks even better in the photos!,Helenjen,40
Great Statue in a convenient location for a picture with Elvis.  Just a few steps off of the hot Beale Street locations!,April 2018,Statue of Elvis,Great Photo Opportunity,Paul K,40
This is in a prominent position on Beale Street.  Its fenced off but unfortunately someone has graffetied the fencing.,April 2018,Statue of Elvis,Elvis,Ebayqueen2015,50
"In the heart of downtown Memphis, there is a hidden world of unbelievable beauty at the Belz Museum of Asian and Judaic Art. The huge jade carvings are so intricate. The Asian artwork and sculptures are fascinating and awe inspiring. The holocaust exhibit is moving and emotional. Thank you Belz family for sharing your treasures with us. ",May 2016,Belz Museum of Asian & Judaic Art,Step into a hidden world of beauty,PatriceR796,50
The Belz Museum of Asian and Judaic Art was a fascinating little museum. It was really more of an Asian art museum than a Judaic Art museum but what they had was first rate. I highly recommend this place. I saw families there but we did not have young children with us. I am not too sure that it is appropriate for children under 10 or so.,January 2016,Belz Museum of Asian & Judaic Art,Fascinating little museum,Bubbyof3,40
"Museum is conveniently located on Main St. It is divided into an Asian section and a Judaic section. The Asian section has many, many intricate and spectacular ivory, jade, bone, etc. carvings or all different sizes. There are several intricately carved mastodon tusks that reflect battle scenes, elephant herds, parades, horses, tigers, and other amazing scenes that reflect unbelievable skill and attention to detail. Wasn't able to spend enough time in the Judaic section, but the personal reflections of Memphis residents and former Holocaust survivors was informative, but difficult to read and imagine what they went through. Highly recommended. ",May 2016,Belz Museum of Asian & Judaic Art,Surprisingly Good Museum,jackedelstein,50
My wife and I have taken several trips to China and have NEVER seem such FABULOUS Jade and Ivory carvings and artifacts. The puppets were something amazing. The Judaic art as incredible and a MUST for everyone to see.,May 2016,Belz Museum of Asian & Judaic Art,Absolutely FANTASTIC,retyredin99,50
"We love visiting the Pink Palace museum, and often go several times a month. The IMAX theater and planetarium offer a seasonal list of great movies and shows. My kids love the Bella Cafe. They are about to start renovations. We always find something new and interesting there. ",January 2017,Pink Palace Museum,Memphis Highlight,G6338HVmelissaj,50
"Would not have visited had we known the actual Pink Palace was closed and will be for some time.  They do have a sign at the ticket counter stating they are doing construction or renovating.  It does not say that you will not have access to the the palace part of the museum; 1900's and on.  They will however, charge you full price for half of the experience.  Very misleading and disappointing.",February 2017,Pink Palace Museum,Bait and Switch,AllisonChilders,10
"This is a pretty varied museum.  There is a natural history section and a cultural history section.  Both are pretty interesting, more so for children.  We were very disappointed that the mansion was closed and we most likely would not have gone if we had known.",February 2017,Pink Palace Museum,Don't go if the mansion isn't open,citidwel,30
"We have lived near Memphis for 20+ years and had never gone before this.  It was a small museum that mixed US history with what also happened in Memphis.  Our family of four went to both theaters and the museum and payed a little less then 90 dollars.  At the time of this review we went to see Extreme Weather in 3D, Winter Star gazing in the planetarium, and walked the museum.  Extreme Weather was a long global warming commercial and that is ok if you are expecting it, but I was wanting a National Geographic type Weather experience not a propaganda film, which is what it felt like.  The planetarium was nice but the show was from 2011 and can cause motion sickness.  The museum was small but (to me) the highlight of the visit.  You can learn and see a lot, we will be going back. ",March 2017,Pink Palace Museum,Small Museum ,Danielak00,40
We attended a BBQ cook off there and enjoyed it.  Got plenty of walking:-)  Would not call it a must see destination but it always nice to be next to water and watching boats.,August 2016,Beale Street Landing,It has been awhile,BillIBT,40
Happened to go down fifteen minutes before sailing so bought two tickets . A full commentary by an enthusiastic guide although this got on my nerves after thirty minutes . Don't go to far but nice journey up and down small parts of the river,August 2017,Beale Street Landing,Almost by chance ,Mrgreeny67,40
"This place really tells an amazing history of a natural product produced from the ground. It shows the power of retail, trade, culture and the ripple effects on society, music and the world. All from humble cotton, it looks to the future as well as recording a very interesting past. Highly worthwhile a visit.....l.l",August 2016,The Cotton Museum at the Memphis Cotton Exchange,Education,Majosky,50
There is also a gift shop,July 2016,The Cotton Museum at the Memphis Cotton Exchange,"Great mueum, really worth a detour, very interesting and very good displays",Fortiche,50
"This venue was worth seeing, especially if you have an agricultural background.  Plan on at least an hour to soak it all in.",August 2016,The Cotton Museum at the Memphis Cotton Exchange,Interesting,FromThe707,40
"Different addresses exist for this building. The building is at the intersection of Union and Front streets, but the museum entrance is at 65 Union.",August 2016,The Cotton Museum at the Memphis Cotton Exchange,How Cotton Made the South,SteveG-in-FL,50
"They were having a food truck event when I went and giving free admission. Thanks! The gardens are beautiful. Lots of interesting sculptures throughout the garden. A lot of the garden is woodland and very peaceful. There are more formal flower beds near the front gate. Since it was early in the summer, the beds weren't that far along in growth, but still very pretty. There was a cool pool near the front gate that had a numerous frogs in it. The frogs were hopping everywhere. Wish they sold plants there.",June 2015,Dixon Gallery & Gardens,Absolutely lovely garden!!,Sarah N,50
Tuesday are pay what you will. A nice feature. ,March 2015,Dixon Gallery & Gardens,Quick stop to see some art,156annamh,50
Very pleasant stroll with pretty park. A semi annual flower show uses a special exhibit of art and is worth visiting. This is in April in even years.,April 2015,Dixon Gallery & Gardens,Pretty,gay e,50
"I love the paintings, the special shows, the gardens, the movies, the lectures -- there's nothing I don't love! This is a great museum.",July 2015,Dixon Gallery & Gardens,Too much good stuff,korenni,50
"I've come here for the Memphis in May music festival six years now, and it's always good. Great selection of bands in different genres, from classics to washed up nineties bands (you know you still love them) to current pop performances. The usual carnival foods, super pricey, but the tickets to the event are so cheap for a music fest. Parking $5-10 depending on how close you want to get, a few blocks of walking and you're there. Always a great time, mud of not.",May 2015,Tom Lee Park,Beale Street Music Festival,Lena H,40
"We were here for the music fest, and had a blast. The bands were awesome, and the fair food they served was great. They had lots of shuttle services you could get from your hotel which was cheaper then a cab, so no need to drive. Also with in walking distance to beale making it that much more fun if you got tired of the music (which never happened in our case).",May 2015,Tom Lee Park,Beale Street Music Fest,Nichole G,50
went to memphis in may and had such a awesome time.Beautiful view of the river and close to beale street ,May 2015,Tom Lee Park,memphis in may,bevmik,40
There is a beautiul  view of the Mississippi River. There is a good walking track. It is a relaxing place.,July 2015,Tom Lee Park,Beautiul Pak,mamalinda86,40
"The Elmwood Cemetery is a beautiful experience.  The grounds are well kept on green rolling hills and large old trees. Many of the tombstones tell family stories. The welcome house on grounds has a small gift shop with books about Memphis history. I was sorry to see, that at some point in the cemetery's history, some headstones were vandalized  ",July 2016,Elmwood Cemetery,A awsome history experience,Thesisters20162017,50
"this is a super cool place .  just a small old cemetery with city fathers  big wigs from back in the day and some notables including Robert Church, a fascinating figure who used to practically rule Beale Street and was an amazing survivor and entrepreneur.  Anyway sort of isolated off the beaten path a few blocks from downtown beside some old railway tracks over a moat and accessible by a bridge just wide enough for a horse drawn hearse it seems.  You can imagine back in the day this was on the edge of town. It's a great place to wander and wallow in the past with many romantic and slightly crumbling gravestones, all very cool.  They seem to take wonderful care of it which is uplifting to see, you hear bugs buzzing and the train going by and you really feel like you are in the deep south.  Even a large area just filled with hundreds of yellow fever victims, so crazy, what a wonderful (if you can say that about a cemetery) experience.  I even recommend just sitting in a rocking chair they generously leave on the front porch of the gingerbread office house. Sit a spell, take a load off, contemplate your future and remember--it's later than you think.",September 2015,Elmwood Cemetery,what a wondeful divergence,rydercc2002,50
"Lots of very interesting monuments and with the CD and map we learned alot of history behind the markers.  Would definitely recommend the CD, but we also have enjoyed a wine and cheese walking tour.  Can't wait to go again!",March 2016,Elmwood Cemetery,Wonderful way to spend an afternoon,Barbara F,50
I absolutely love going here. So much history. I enjoy the peaceful walks through the grounds. So many beautiful trees and older historical tombstones. A must see if your in Memphis.,July 2016,Elmwood Cemetery,Very Peaceful and Beautiful Walk,readyfreddieMercury,50
See what the King first sang with his van. Explore all of Overton Park while you're there - you'll be glad that you did!,October 2015,Levitt Shell,A must for Elvis fans,Trudy J,40
Inside the beautiful park of Memphis you will find this outdoor concert venue where The King got his start.,October 2015,Levitt Shell,Elvis Fans Must Visit Where The King First Performed,AllanH328,40
"Bring your blanket, picnic and bottle of wine- its a fun free summer night! Great music- but plan to get there early",August 2015,Levitt Shell,Summer Music series,kaylac221,50
"nice outdoor concert venue located in a park. Bring a blanket and enjoy a show, The whole place has a fun vibe to it.",November 2015,Levitt Shell,nice spot..,jlantern3,40
Al Green was there the day we went and it was so incredible. Definitely should go if you are in the area on a Sunday. Choir was amazing and Al sounds as good as ever.,February 2012,Full Gospel Tabernacle,Amazing,wanderlust1126,50
Attended a Sunday morning service led by Al Green.  Great energy in the church.  I haven't been to a church in over 10 years but glad I attended this one.  ,March 2012,Full Gospel Tabernacle,Al Green at his finest!,TravellingHK,50
"Really enjoyed the church service.  Rev Al knows who is a visitor and who is a regular.  His choir and band are wonderful.  Saw 4 baptisms and sang a lot of gospel music.  Check his tour calendar to see if he is in town, and expect a full two hours of enlightenment on a Sunday morning!",March 2012,Full Gospel Tabernacle,Al Green Still gives IT,cocopuffs,50
"Get out of your comfort zone, get dressed up on a Sunday, and go try it for yourself.",March 2012,Full Gospel Tabernacle,"Get dressed up on Sunday, get out of your comfort zone, and go try it for yourself.",MidwestFamilyTvl,50
Just like you would imagine.  We had to leave after 1 1/2 hours as we had to get somewhere.  It was nice down home preaching by Al Green.  Nice way to go to church on. The road,May 2012,Full Gospel Tabernacle,Great Southern Gospel,Fastphilad,40
"Interesting exhibits in & out. Loved the 19th century Gazebo atop the bluff overlooking the River (awesome photo op, plan ahead.) In the blacksmith shop the story of metalworking is displayed, with demonstrations. Classes in the foundry can be observed, too. Their site, dot org will help in planning your visit. Across the street is expansive Chickasaw Park, a must-see also! Mississippian culture Mound site with historical plaque & lovely statue - would be a nice side-trip to have a metalsmith come along & interpret from production point-of-view... ",March 2017,Metal Museum,"Museums & shops with examples & history of ornamental metalwork, a foundry / blacksmith shop, & sculptures",db_Blue,50
"This is a small museum with a lot of soul.  the people who work there are very dedicated, and it's clearly a mecca for anyone who is a metalsmith.  The exhibits were thought-provoking and the apprentices in the blacksmith shop were friendly and informative.  Great gift shop, too.  Make sure you really look at the entrance iron gates: they are a tribute to the art.",March 2017,Metal Museum,Iron work and artistry,Skeptika,50
"We intentionally visited this place, not to go inside the museum, but, rather, to see the outdoor sculptures and see the amazing view of the Mississippi from their ornate gazebo.  The front gates are unique & stunning, many of the sculptures throughout the courtyard are funny, and the local kitty-cat was charmingly coy.  Immediately next door is an old, abandoned military hospital (that is just BEGGING to be purchased, and re-invented) - great photo ops there.",March 2017,Metal Museum,The outer grounds were beautiful and relaxing....with a GREAT view!,MeanderingMarble,40
"We love having a membership at CMOM!! We enjoy bringing a picnic lunch and spending the day between the inside and outdoor sprinkler park. If you don't bring lunch, they have onsite food options. ",July 2016,The Children's Museum of Memphis,Fun day with friends ,akm4380,50
"OMG!!! This place is awesome for kids of all ages. So much hands on for the kids and adults to do indoors and outside. The splash pad, zipline, outside play area, sand dig area, picnic area. I can't say enough about this place. We bought an annual membership and its 40 miles away. We stay for hours upon hours. Start off in the outdoor play area, get hot, go inside to play and cool off, then head to the splash pad, then back to outdoor play area to dry off, then back inside to play some more. Every detail has been taken to ensure child safety education and entertainment. Something for every child. Even the little ones have a separate area away from the big kids to play if they want. We always have a blast!!! Worth every penny!!!",July 2016,The Children's Museum of Memphis,Bring a lunch and stay all day,babymaker1974,50
Kids love it.  Parents can sit and rest while kids play. Educational and interesting for the young minds.,July 2016,The Children's Museum of Memphis,Had fun,E8589HKjamesa,40
I took my 3.5 year old granddaughter who is a member and she knew right where to go.  We stayed 3 hours. You can bring your own food and drink or buy something there. I was glad she could run around and feel safe.  We will go back.,July 2016,The Children's Museum of Memphis,Perfect for a sunny or rainy day!,Kay Y,50
